henchtext	text
Doombot Legion	"<font size='3'>Doombot Legion</font>
<b>Fight</b>: Look at the top two cards of your deck. KO one of them and put the other back.
<b>Attack</b>: 3
<b>VP</b>: 1"
Hand Ninjas	"<font size='3'>Hand Ninjas</font>
<b>Fight</b>: You get +1 Recruit.
<b>Attack</b>: 3
<b>VP</b>: 1"
Savage Land Mutates	"<font size='3'>Savage Land Mutates</font>
<b>Fight</b>: When you draw a new hand of cards at the end of this turn, draw an extra card.
<b>Attack</b>: 3
<b>VP</b>: 1"
Sentinel	"<font size='3'>Sentinel</font>
<b>Fight</b>: KO one of your Heroes.
<b>Attack</b>: 3
<b>VP</b>: 1

"
Maggia Goons	"<font size='3'>Maggia Goons</font>
<b>Bribe</b>
<b>Fight</b>: KO one of your Heroes.
<b>Attack</b>: 4*
<b>VP</b>: 1"
Phalanx	"<font size='3'>Phalanx</font>
<b>Fight</b>: Reveal a https://cf.geekdo-static.com/mbs/mb_26287_0.png Hero or KO one of your Heroes with an Attack icon.
<b>Attack</b>: 3
<b>VP</b>: 1

"
Asgardian Warriors	"<font size='3'>Asgardian Warriors</font>
<b>Fight</b>: Draw a card.
<b>Attack</b>: 3
<b>VP</b>: 1"
Cops	"<font size='3'>Cops</font>
<b>Fight</b>: Gain a New Recruit.
<b>Attack</b>: 3
<b>VP</b>: 1"
Multiple Man	"<font size='3'>Multiple Man</font>
<b>Fight</b>: KO one of your Allies for each other Multiple Man in your Victory Pile.
<b>Attack</b>: 3
<b>VP</b>: 1"
S.H.I.E.L.D. Assault Squad	"<font size='3'>S.H.I.E.L.D. Assault Squad</font>
<b>Fight</b>: Discard the top card of your deck. Then KO an Ally from your discard pile.
<b>Attack</b>: 3
<b>VP</b>: 1

"
Ghost Racers	"<font size='3'>Ghost Racers</font>
Ambush: Rise of the Living Dead
<b>Fight</b>: Reveal a https://cf.geekdo-static.com/mbs/mb_26283_0.png Hero or KO one of your Heroes with an Attack icon.
<b>Attack</b>: 3
<b>VP</b>: 1"
M.O.D.O.K.s	"<font size='3'>M.O.D.O.K.s</font>
<b>Fight</b>: KO a Hero from your discard pile or the HQ. If that Hero has a Recruit icon, you get +1 Recruit.
<b>Attack</b>: 3
<b>VP</b>: 1"
Thor Corps	"<font size='3'>Thor Corps</font>
<b>Fight</b>: Gain this as a Hero.
<b>Attack</b>: 3
---
Team: Avengers
Class: https://cf.geekdo-static.com/mbs/mb_26286_0.png, https://cf.geekdo-static.com/mbs/mb_26285_0.png
2+ Recruit
https://cf.geekdo-static.com/mbs/mb_26286_0.png https://cf.geekdo-static.com/mbs/mb_26285_0.png: You get +1 Recruit.

"
Khonshu Guardians	"<font size='3'>Khonshu Guardians</font>
While in the Sewers, Rooftops or Bridge, this is in ""wolf form"" and gets +2 Attack.
<b>Fight</b>: KO one of your Heroes.
<b>Attack</b>: 3
<b>VP</b>: 1"
Magma Men	"<font size='3'>Magma Men</font>
<b>Fight</b>: KO one of your Heroes."
Fateful Resurrection	"<font size='3'>Fateful Resurrection</font>
<b>Attack</b>: 3
<b>VP</b>: 1"
Spider-Infected	"<font size='3'>Spider-Infected</font>
Ambush: This captures a Bystander.
<b>Fight</b>: The next Hero you gain this turn has Wall-Crawl.
<b>Attack</b>: 3
<b>VP</b>: 1

"
Mandroid	"<font size='3'>Mandroid</font>
This gets +1 Attack for each other Mandroid in your Victory Pile.
<b>Fight</b>: KO one of your Heroes.
<b>Attack</b>: 2+
<b>VP</b>: 1"
Cape-Killers	"<font size='3'>Cape-Killers</font>
S.H.I.E.L.D. Clearance
<b>Fight</b>: KO a card from your discard pile.
<b>Attack</b>: 3*
<b>VP</b>: 1

"
The Brood	"<font size='3'>The Brood</font>
This Villain gets +1 Attack for each Bystander in the KO pile.
<b>Fight</b>: KO one of your Heroes. Then KO a Bystander from the Bystander Stack.
<b>Attack</b>: 1+
<b>VP</b>: 1"
Hellfire Cult	"<font size='3'>Hellfire Cult</font>
<b>Fight</b>: Reveal the top card of your deck. If it costs 0, KO it. Otherwise, you get +1 Recruit.
<b>Attack</b>: 3
<b>VP</b>: 1"
Sapien League	"<font size='3'>Sapien League</font>
<b>Fight</b>: KO one of your Heroes. Then, reveal the top card of the Villain Deck. If it's a Henchman Villain, play it.
<b>Attack</b>: 3
<b>VP</b>: 1"
Shi'ar Death Commandos	"<font size='3'>Shi'ar Death Commandos</font>
<b>Ambush</b>: The Villain captures a Human Shield.
<b>Fight</b>: KO one of your Heroes.
<b>Attack</b>: 2*
<b>VP</b>: 1"
Shi'ar Patrol Craft	"<font size='3'>Shi'ar Patrol Craft</font>
<b>Fight</b>: The next Hero you recruit this turn has <i>'Soaring Flight</i>'.
<b>Attack</b>: 3
<b>VP</b>: 1

"
Cytoplasm Spikes	"<font size='3'>Cytoplasm Spikes</font>
<b>Fight</b>: <i>'Feast</i>'. If Cytoplasm Spikes feasts on a non-grey Hero, you get +2 Recruit.
<b>Attack</b>: 3
<b>VP</b>: 1"
Death's Heads	"<font size='3'>Death's Heads</font>
<b>Fight</b>: If you <i>'Outwit</i>' these Death's Heads, KO one of your cards that costs 0.
<b>Attack</b>: 3
<b>VP</b>: 1"
Sakaaran Hivelings	"<font size='3'>Sakaaran Hivelings</font>
<b>Fight</b>: Look at the top card of your deck. Put it back on the top or bottom. Then <i>'Feast</i>'.
<b>Attack</b>: 3
<b>VP</b>: 1


"
Circus of Crime	"<font size='3'>Circus of Crime</font>
<b>Fight</b>: Reveal the top card of your deck. If it costs 0 Cost, KO it. Otherwise, draw it.
<b>Attack</b>: 3
<b>VP</b>: 1"
Spider-Slayer	"<font size='3'>Spider-Slayer</font>
<b>Fight</b>: Reveal the top two cards of your deck. Put any that cost 2 Cost or less into your hand. Put the rest back in any order.
<b>Attack</b>: 3
<b>VP</b>: 1


"
HYDRA Base	"<font size='3'>HYDRA Base</font>
<b>Henchman Location</b>
HYDRA Base gets +2 Attack while there's a Villain here.
<b>Fight</b>: KO one of your Heroes.
<b>VP</b>: 1
"
