mmtext	text
Dr. Doom	"<font size='4'>Dr. Doom</font>

<b>Always Leads</b>: Doombot Legion
<b>Master Strike</b>: Each player with exactly 6 cards in hand reveals a https://cf.geekdo-static.com/mbs/mb_26287_0.png Hero or puts 2 cards from their hand on top of their deck.
Attack: 9
VP: 5

<i>Dark Technology</i>
<b>Fight</b>: You may recruit a https://cf.geekdo-static.com/mbs/mb_26287_0.png or https://cf.geekdo-static.com/mbs/mb_26285_0.png Hero from the HQ for free.

<i>Monarch's Decree</i>
<b>Fight</b>: Choose one: each other player draws a card or each other player discards a card.

<i>Secrets of Time Travel</i>
<b>Fight</b>: Take another turn after this one.

<i>Treasures of Latveria</i>
<b>Fight</b>: When you draw a new hand of cards at the end of this turn, draw three extra cards.
"
Loki	"<font size='4'>Loki</font>

<b>Always Leads</b>: Enemies of Asgard
<b>Master Strike</b>: Each player reveals a https://cf.geekdo-static.com/mbs/mb_26286_0.png Hero or gains a Wound
Attack: 10
VP: 5

<i>Cruel Ruler</i>
<b>Fight</b>: Defeat a Villain in the City for free.

<i>Maniacal Tyrant</i>
<b>Fight</b>: KO up to four cards from your discard pile.

<i>Vanishing Illusions</i>
<b>Fight</b>: Each other player KOs a Villain from their Victory Pile.

<i>Whispers and Lies</i>
<b>Fight</b>: Each other player KOs two Bystanders from their Victory Pile.
"
Magneto	"<font size='4'>Magneto</font>

<b>Always Leads</b>: Brotherhood
<b>Master Strike</b>: Each player reveals an X-Men Hero or discards down to four cards.
Attack: 8
VP: 5

<i>Bitter Captor</i>
<b>Fight</b>: Recruit an X-Men Hero from the HQ for free.

<i>Crushing Shockwave</i>
<b>Fight</b>: Each other player reveals an X-Men Hero or gains two Wounds.

<i>Electromagnetic Bubble</i>
<b>Fight</b>: Choose one of your X-Men Heroes. When you draw a new hand of cards at the end of this turn, add that Hero to your hand as a seventh card.

<i>Xavier's Nemesis</i>
<b>Fight</b>: For each of your X-Men Heroes, rescue a Bystander.
"
Red Skull	"<font size='4'>Red Skull</font>

<b>Always Leads</b>: HYDRA
<b>Master Strike</b>: Each player KOs a Hero from their hand.
Attack: 7
VP: 5

<i>Endless Resources</i>
<b>Fight</b>: You get +4 Recruit.

<i>HYDRA Conspiracy</i>
<b>Fight</b>: Draw two cards. Then draw another card for each HYDRA Villain in your Victory Pile.

<i>Negablast Grenades</i>
<b>Fight</b>: You get +3 Attack.

<i>Ruthless Dictator</i>
<b>Fight</b>: Look at the top three cards of your deck. KO one, discard one and put one back on top of your deck.


"
Apocalypse	"<font size='4'>Apocalypse</font>

<b>Always Leads</b>: Four Horsemen
Four Horsemen Villains get +2 Attack
Apocalypse Wins: When Famine, Pestilence, War, and Death have escaped
<b>Master Strike</b>: Each player reveals their hand and puts all their Heroes that cost 1 or more on top of their deck.
Attack: 12
VP: 6

<i>Apocalyptic Destruction</i>
<b>Fight</b>: Each other player KOs two Heroes from their discard pile that each cost 1 or more.

<i>The End of All Things</i>
<b>Fight</b>: Each other player reveals the top three cards of their deck, KOs each one of those cards that cost 1 or more, and puts the rest back in any order.

<i>Horsemen Are Drawing Nearer</i>
<b>Fight</b>: Each other player plays a Four Horsemen Villain from their Victory Pile as if playing it from the Villain Deck.

<i>Immortal and Undefeated</i>
<b>Fight</b>: If this is not the final Tactic, rescue six Bystanders and shuffle this Tactic back into the other Tactics.
"
Kingpin	"<font size='4'>Kingpin</font>

Bribe
<b>Always Leads</b>: Streets of New York
<b>Master Strike</b>: Each player reveals a Marvel Knights Hero or discards their hand and draws 5 cards.
Attack: 13*
VP: 6

<i>Call a Hit</i>
<b>Fight</b>: Choose a Hero from each player's discard pile and KO it.

<i>Criminal Empire</i>
<b>Fight</b>: If this is not the final Tactic, reveal the top three cards of the Villain Deck. Play all the Villains you revealed. Put the rest back in random order.

<i>Dirty Cops</i>
<b>Fight</b>: Put a 0 Cost Hero from the KO pile on top of each other player's deck.

<i>Mob War</i>
<b>Fight</b>: Each other player plays a Henchman Villain from their Victory Pile as if playing it from the Villain Deck.
"
Mephisto	"<font size='4'>Mephisto</font>

Whenever a player gains a Wound, put it on top of that player's deck.
<b>Always Leads</b>: Underworld
<b>Master Strike</b>: Each player reveals a Marvel Knights Hero or gains a Wound.
Attack: 10
VP: 6

<i>Damned If You Do...</i>
<b>Fight</b>: Each other player KOs a Bystander from their Victory Pile or gains a Wound.

<i>Devilish Torment</i>
<b>Fight</b>: Each other player puts all 0 Cost cards from their discard pile on top of their deck in any order.

<i>Pain Begets Pain</i>
<b>Fight</b>: Choose any number of Wounds from your hand and discard pile. The player to your right gains them.

<i>The Price of Failure</i>
<b>Fight</b>: Each other player without a Mastermind Tactic in their Victory Pile gains a Wound.
"
Mr. Sinister	"<font size='4'>Mr. Sinister</font>

Mr. Sinister gets +1 Attack for each Bystander he has.
<b>Always Leads</b>: Marauders
<b>Master Strike</b>: Mr. Sinister captures a Bystander. Then each player with exactly 6 cards reveals a https://cf.geekdo-static.com/mbs/mb_26283_0.png Hero or discards cards equal to the number of Bystanders Mr. Sinister has.
Attack: 8
VP: 6

<i>Human Experimentation</i>
<b>Fight</b>: Mr. Sinister captures Bystanders equal to the number of Villains in the city.

<i>Master Geneticist</i>
<b>Fight</b>: Reveal the top seven cards of the Villain Deck. Mr. Sinister captures all of the Bystanders you revealed. Put the rest back in random order.

<i>Plans Within Plans</i>
<b>Fight</b>: Mr. Sinister captures a Bystander for each Mr. Sinister Tactic in players' Victory Piles, including this Tactic.

<i>Telepathic Manipulation</i>
<b>Fight</b>: Mr. Sinister captures a Bystander from each other player's Victory Pile.
"
Stryfe	"<font size='4'>Stryfe</font>

<b>Always Leads</b>: MLF
<b>Master Strike</b>: Stack this Master Strike next to Stryfe.
Stryfe gets +1 Attack for each Master Strike stacked next to him. Each player reveals an X-Force Hero or discards a card at random.
Attack: 7
VP: 6

<i>Furious Wrath</i>
<b>Fight</b>: Reveal the top six cards of the Villain Deck. Play all the Master Strikes you revealed. Put the rest back in random order.

<i>Psychic Torment</i>
<b>Fight</b>: Look at the top five cards of your deck. Put one into your hand and discard the rest.

<i>Swift Vengeance</i>
<b>Fight</b>: A Wound from the Wound Stack becomes a Master Strike that takes effect immediately.

<i>Tide of Retribution</i>
<b>Fight</b>: Each other player reveals an X-Force Hero or gains a Wound.


"
Galactus	"<font size='4'>Galactus</font>

Cosmic Threat: https://cf.geekdo-static.com/mbs/mb_26286_0.png https://cf.geekdo-static.com/mbs/mb_26284_0.png https://cf.geekdo-static.com/mbs/mb_26283_0.png https://cf.geekdo-static.com/mbs/mb_26287_0.png https://cf.geekdo-static.com/mbs/mb_26285_0.png
<b>Always Leads</b>: Heralds of Galactus
<b>Master Strike</b>: Destroy the city space closest to Galactus. Any Villain there escapes. Put this Master Strike there.
Galactus Wins: When the city is destroyed.
Attack: 20*
VP: 7

<i>Cosmic Entity</i>
<b>Fight</b>: Choose https://cf.geekdo-static.com/mbs/mb_26286_0.png, https://cf.geekdo-static.com/mbs/mb_26284_0.png, https://cf.geekdo-static.com/mbs/mb_26283_0.png, https://cf.geekdo-static.com/mbs/mb_26287_0.png or https://cf.geekdo-static.com/mbs/mb_26285_0.png. Each player reveals any number of cards of that class, then draws that many cards.

<i>Force of Eternity</i>
<b>Fight</b>: When you draw a new hand of cards at the end of this turn, draw six extra cards, then discard six cards.

<i>Panicked Mobs</i>
<b>Fight</b>: Choose https://cf.geekdo-static.com/mbs/mb_26286_0.png, https://cf.geekdo-static.com/mbs/mb_26284_0.png, https://cf.geekdo-static.com/mbs/mb_26283_0.png, https://cf.geekdo-static.com/mbs/mb_26287_0.png or https://cf.geekdo-static.com/mbs/mb_26285_0.png. Each player reveals any number of cards of that class, then rescues that many Bystanders.

<i>Sunder the Earth</i>
<b>Fight</b>: Each other player KOs all Heroes from their discard pile with the same card name as a Hero in the HQ.
"
