text	set	id	type
"<font size='5'>Black Widow</font>
<br><font size='3'><i>Avengers</i></font>
<br><font size='1'><i>Art contains a gun</i></font>
<br>
<br><b>Dangerous Rescue</b> (5 copies)
<br><img src=""red.png"">
<br>2 Attack
<br><img src=""red.png"">: You may KO a card from your hand or discard pile. If you do, rescue a Bystander.
<br>Cost: 3
<br>
<br><b>Mission Accomplished</b> (5 copies)
<br><img src=""silver.png"">
<br>Draw a card.
<br><img src=""silver.png"">: Rescue a Bystander.
<br>Cost: 2
<br>
<br><b>Covert Operation</b> (3 copies)
<br><img src=""red.png"">
<br>0+ Attack
<br>You get +1 Attack for each Bystander in your Victory pile.
<br>Cost: 4
<br>
<br><b>Silent Sniper</b> (1 copy)
<br><img src=""red.png"">
<br>4 Attack
<br>Defeat a Villain or Mastermind that has a Bystander.
<br>Cost: 7
<br>"	Base	Black Widow (B)	Heroes
"<font size='5'>Captain America</font>
<br><font size='3'><i>Avengers</i></font>
<br>
<br><b>Avengers Assemble!</b> (5 copies)
<br><img src=""yellow.png"">
<br>0+ Recruit
<br>You get +1 Recruit for each color of Hero you have.
<br>Cost: 3
<br>
<br><b>Perfect Teamwork</b> (5 copies)
<br><img src=""green.png"">
<br>0+ Attack
<br>You get +1 Attack for each color of Hero you have.
<br>Cost: 4
<br>
<br><b>Diving Block</b> (3 copies)
<br><img src=""silver.png"">
<br>4 Attack
<br>If you would gain a Wound, you may reveal this card and draw a card instead.
<br>Cost: 6
<br>
<br><b>A Day Unlike Any Other</b> (1 copy)
<br><img src=""red.png"">
<br>3+ Attack
<br>Avengers: You get +3 Attack for each other Avengers Hero you played this turn.
<br>Cost: 7
<br>"	Base	Captain America (B)	Heroes
"<font size='5'>Cyclops</font>
<br><font size='3'><i>X-Men</i></font>
<br>
<br><b>Determination</b> (5 copies)
<br><img src=""green.png"">
<br>3 Recruit
<br>To play this card, you must discard a card from your hand.
<br>Cost: 2
<br>
<br><b>Optic Blast</b> (5 copies)
<br><img src=""blue.png"">
<br>3 Attack
<br>To play this card, you must discard a card from your hand.
<br>Cost: 3
<br>
<br><b>Unending Energy</b> (3 copies)
<br><img src=""blue.png"">
<br>4 Attack
<br>If a card effect makes you discard this card, you may return this card to your hand.
<br>Cost: 6
<br>
<br><b>X-Men United</b> (1 copy)
<br><img src=""blue.png"">
<br>6+ Attack
<br>X-Men: You get +2 Attack for each other X-Men Hero you played this turn.
<br>Cost: 8
<br>"	Base	Cyclops (B)	Heroes
"<font size='5'>Deadpool</font>
<br><font size='3'><i>(Unaffiliated)</i></font>
<br><font size='1'><i>Art contains a gun</i></font>
<br>
<br><b>Here, Hold This for a Second</b> (5 copies)
<br><img src=""silver.png"">
<br>2 Recruit
<br>A Villain of your choice captures a Bystander.
<br>Cost: 3
<br><font size='1'><i>""Hey, Abomination makes a pretty good babysitter.""</i></font>
<br><font size='1'><i>(Note: 3D alt art has no flavor text.)</i></font>
<br>
<br><b>Oddball</b> (5 copies)
<br><img src=""red.png"">
<br>2+ Attack
<br>You get +1 Attack for each other Hero with an odd-numbered Cost you played this turn.
<br>Cost: 5
<br>
<br><b>Hey, Can I Get a Do-Over?</b> (3 copies)
<br><img src=""yellow.png"">
<br>2 Attack
<br>If this is the first Hero you played this turn, you may discard the rest of your hand and draw four cards.
<br>Cost: 3
<br>
<br><b>Random Acts of Unkindness</b> (1 copy)
<br><img src=""yellow.png"">
<br>6 Attack
<br>You may gain a Wound to your hand. Then each player passes a card from their hand to the player on their left.
<br>Cost: 7
<br>"	Base	Deadpool (B)	Heroes
"<font size='5'>Emma Frost</font>
<br><font size='3'><i>X-Men</i></font>
<br>
<br><b>Mental Discipline</b> (5 copies)
<br><img src=""blue.png"">
<br>1 Recruit
<br>Draw a card.
<br>Cost: 3
<br><font size='1'><i>A natural telepath, Emma knows what you're thinking before you do.</i></font>
<br>
<br><b>Shadowed Thoughts</b> (5 copies)
<br><img src=""red.png"">
<br>2+ Attack
<br><img src=""red.png"">: You may play the top card of the Villain Deck. If you do, you get +2 Attack.
<br>Cost: 4
<br><font size='1'><i>Emma's days as a Villain are behind here...aren't they?</i></font>
<br>
<br><b>Psychic Link</b> (3 copies)
<br><img src=""yellow.png"">
<br>3 Attack
<br>Each player may reveal another X-Men Hero. Each player who does draws a card.
<br>Cost: 5
<br>
<br><b>Diamond Form</b> (1 copy)
<br><img src=""green.png"">
<br>0+ Recruit
<br>5 Attack
<br>Whenever you defeat a Villain or Mastermind this turn, you get +3 Recruit.
<br>Cost: 7
<br><font size='1'><i>A secondary mutation allows Emma Frost to transform into pure diamond.</i></font>
<br>"	Base	Emma Frost (B)	Heroes
"<font size='5'>Gambit</font>
<br><font size='3'><i>X-Men</i></font>
<br>
<br><b>Card Shark</b> (5 copies)
<br><img src=""blue.png"">
<br>2 Attack
<br>Reveal the top card of your deck. If it's an X-Men Hero, draw it.
<br>Cost: 4
<br>
<br><b>Stack the Deck</b> (5 copies)
<br><img src=""red.png"">
<br>Draw two cards. Then put a card from your hand on top of your deck.
<br>Cost: 2
<br>
<br><b>Hypnotic Charm</b> (3 copies)
<br><img src=""yellow.png"">
<br>2 Recruit
<br>Reveal the top card of your deck. Discard it or put it back.
<br><img src=""yellow.png"">: Do the same thing to each other player's deck.
<br>Cost: 3
<br>
<br><b>High Stakes Jackpot</b> (1 copy)
<br><img src=""yellow.png"">
<br>4+ Attack
<br>Reveal the top card of your deck. You get +Attack equal to that card's cost.
<br>Cost: 7
<br>"	Base	Gambit (B)	Heroes
"<font size='5'>Hawkeye</font>
<br><font size='3'><i>Avengers</i></font>
<br>
<br><b>Quick Draw</b> (5 copies)
<br><img src=""yellow.png"">
<br>1 Attack
<br>Draw a card.
<br>Cost: 3
<br><font size='1'><i>Against robots, Hawkeye's first shot is a warning shot. In the face.</i></font>
<br>
<br><b>Team Player</b> (5 copies)
<br><img src=""silver.png"">
<br>2+ Attack
<br>Avengers: You get +1 Attack.
<br>Cost: 4
<br><font size='1'><i>""You line 'em up, and I'll knock 'em down...""</i></font>
<br>
<br><b>Covering Fire</b> (3 copies)
<br><img src=""silver.png"">
<br>3 Attack
