herotext	text	set	id	heroname
Black Widow	"<font size='5'>Black Widow</font>
<font size='3'><i>Avengers</i></font>
<font size='1'><i>Art contains a gun</i></font>

<b>Dangerous Rescue</b> (5 copies)
https://cf.geekdo-static.com/mbs/mb_26283_0.png
2 Attack
https://cf.geekdo-static.com/mbs/mb_26283_0.png: You may KO a card from your hand or discard pile. If you do, rescue a Bystander.
Cost: 3

<b>Mission Accomplished</b> (5 copies)
https://cf.geekdo-static.com/mbs/mb_26287_0.png
Draw a card.
https://cf.geekdo-static.com/mbs/mb_26287_0.png: Rescue a Bystander.
Cost: 2

<b>Covert Operation</b> (3 copies)
https://cf.geekdo-static.com/mbs/mb_26283_0.png
0+ Attack
You get +1 Attack for each Bystander in your Victory pile.
Cost: 4

<b>Silent Sniper</b> (1 copy)
https://cf.geekdo-static.com/mbs/mb_26283_0.png
4 Attack
Defeat a Villain or Mastermind that has a Bystander.
Cost: 7
"	Base	B	Black Widow (B)
Captain America	"<font size='5'>Captain America</font>
<font size='3'><i>Avengers</i></font>

<b>Avengers Assemble!</b> (5 copies)
https://cf.geekdo-static.com/mbs/mb_26284_0.png
0+ Recruit
You get +1 Recruit for each color of Hero you have.
Cost: 3

<b>Perfect Teamwork</b> (5 copies)
https://cf.geekdo-static.com/mbs/mb_26286_0.png
0+ Attack
You get +1 Attack for each color of Hero you have.
Cost: 4

<b>Diving Block</b> (3 copies)
https://cf.geekdo-static.com/mbs/mb_26287_0.png
4 Attack
If you would gain a Wound, you may reveal this card and draw a card instead.
Cost: 6

<b>A Day Unlike Any Other</b> (1 copy)
https://cf.geekdo-static.com/mbs/mb_26283_0.png
3+ Attack
Avengers: You get +3 Attack for each other Avengers Hero you played this turn.
Cost: 7
"	Base	B	Captain America (B)
Cyclops	"<font size='5'>Cyclops</font>
<font size='3'><i>X-Men</i></font>

<b>Determination</b> (5 copies)
https://cf.geekdo-static.com/mbs/mb_26286_0.png
3 Recruit
To play this card, you must discard a card from your hand.
Cost: 2

<b>Optic Blast</b> (5 copies)
https://cf.geekdo-static.com/mbs/mb_26285_0.png
3 Attack
To play this card, you must discard a card from your hand.
Cost: 3

<b>Unending Energy</b> (3 copies)
https://cf.geekdo-static.com/mbs/mb_26285_0.png
4 Attack
If a card effect makes you discard this card, you may return this card to your hand.
Cost: 6

<b>X-Men United</b> (1 copy)
https://cf.geekdo-static.com/mbs/mb_26285_0.png
6+ Attack
X-Men: You get +2 Attack for each other X-Men Hero you played this turn.
Cost: 8
"	Base	B	Cyclops (B)
Deadpool	"<font size='5'>Deadpool</font>
<font size='3'><i>(Unaffiliated)</i></font>
<font size='1'><i>Art contains a gun</i></font>

<b>Here, Hold This for a Second</b> (5 copies)
https://cf.geekdo-static.com/mbs/mb_26287_0.png
2 Recruit
A Villain of your choice captures a Bystander.
Cost: 3
<font size='1'><i>""Hey, Abomination makes a pretty good babysitter.""</i></font>
<font size='1'><i>(Note: 3D alt art has no flavor text.)</i></font>

<b>Oddball</b> (5 copies)
https://cf.geekdo-static.com/mbs/mb_26283_0.png
2+ Attack
You get +1 Attack for each other Hero with an odd-numbered Cost you played this turn.
Cost: 5

<b>Hey, Can I Get a Do-Over?</b> (3 copies)
https://cf.geekdo-static.com/mbs/mb_26284_0.png
2 Attack
If this is the first Hero you played this turn, you may discard the rest of your hand and draw four cards.
Cost: 3

<b>Random Acts of Unkindness</b> (1 copy)
https://cf.geekdo-static.com/mbs/mb_26284_0.png
6 Attack
You may gain a Wound to your hand. Then each player passes a card from their hand to the player on their left.
Cost: 7
"	Base	B	Deadpool (B)
Emma Frost	"<font size='5'>Emma Frost</font>
<font size='3'><i>X-Men</i></font>

<b>Mental Discipline</b> (5 copies)
https://cf.geekdo-static.com/mbs/mb_26285_0.png
1 Recruit
Draw a card.
Cost: 3
<font size='1'><i>A natural telepath, Emma knows what you're thinking before you do.</i></font>

<b>Shadowed Thoughts</b> (5 copies)
https://cf.geekdo-static.com/mbs/mb_26283_0.png
2+ Attack
https://cf.geekdo-static.com/mbs/mb_26283_0.png: You may play the top card of the Villain Deck. If you do, you get +2 Attack.
Cost: 4
<font size='1'><i>Emma's days as a Villain are behind here...aren't they?</i></font>

<b>Psychic Link</b> (3 copies)
https://cf.geekdo-static.com/mbs/mb_26284_0.png
3 Attack
Each player may reveal another X-Men Hero. Each player who does draws a card.
Cost: 5

<b>Diamond Form</b> (1 copy)
https://cf.geekdo-static.com/mbs/mb_26286_0.png
0+ Recruit
5 Attack
Whenever you defeat a Villain or Mastermind this turn, you get +3 Recruit.
Cost: 7
<font size='1'><i>A secondary mutation allows Emma Frost to transform into pure diamond.</i></font>
"	Base	B	Emma Frost (B)
Gambit	"<font size='5'>Gambit</font>
<font size='3'><i>X-Men</i></font>

<b>Card Shark</b> (5 copies)
https://cf.geekdo-static.com/mbs/mb_26285_0.png
2 Attack
Reveal the top card of your deck. If it's an X-Men Hero, draw it.
Cost: 4

<b>Stack the Deck</b> (5 copies)
https://cf.geekdo-static.com/mbs/mb_26283_0.png
Draw two cards. Then put a card from your hand on top of your deck.
Cost: 2

<b>Hypnotic Charm</b> (3 copies)
https://cf.geekdo-static.com/mbs/mb_26284_0.png
2 Recruit
Reveal the top card of your deck. Discard it or put it back.
https://cf.geekdo-static.com/mbs/mb_26284_0.png: Do the same thing to each other player's deck.
Cost: 3

<b>High Stakes Jackpot</b> (1 copy)
https://cf.geekdo-static.com/mbs/mb_26284_0.png
4+ Attack
Reveal the top card of your deck. You get +Attack equal to that card's cost.
Cost: 7
"	Base	B	Gambit (B)
Hawkeye	"<font size='5'>Hawkeye</font>
<font size='3'><i>Avengers</i></font>

<b>Quick Draw</b> (5 copies)
https://cf.geekdo-static.com/mbs/mb_26284_0.png
1 Attack
Draw a card.
Cost: 3
<font size='1'><i>Against robots, Hawkeye's first shot is a warning shot. In the face.</i></font>

<b>Team Player</b> (5 copies)
https://cf.geekdo-static.com/mbs/mb_26287_0.png
2+ Attack
Avengers: You get +1 Attack.
Cost: 4
<font size='1'><i>""You line 'em up, and I'll knock 'em down...""</i></font>

<b>Covering Fire</b> (3 copies)
https://cf.geekdo-static.com/mbs/mb_26287_0.png
3 Attack
https://cf.geekdo-static.com/mbs/mb_26287_0.png: Choose one: each other player draws a card or each other player discards a card.
Cost: 5

<b>Impossible Trick Shot</b> (1 copy)
https://cf.geekdo-static.com/mbs/mb_26287_0.png
5 Attack
Whenever you defeat a Villain or Mastermind this turn, rescue three Bystanders.
Cost: 7
"	Base	B	Hawkeye (B)
Hulk	"<font size='5'>Hulk</font>
<font size='3'><i>Avengers</i></font>

<b>Growing Anger</b> (5 copies)
https://cf.geekdo-static.com/mbs/mb_26286_0.png
2+ Attack
https://cf.geekdo-static.com/mbs/mb_26286_0.png: You get +1 Attack.
Cost: 3
<font size='1'><i>Don't make Hulk even mildly inconvenienced. You wouldn't like him when he's mildly inconvenienced...</i></font>
<font size='1'><i>3D alt art flavor text: You won't like me when I'm angry.</i></font>

<b>Unstoppable Hulk</b> (5 copies)
https://cf.geekdo-static.com/mbs/mb_26284_0.png
2+ Attack
You may KO a Wound from your hand or discard pile. If you do, you get +2 Attack.
Cost: 4

<b>Crazed Rampage</b> (3 copies)
https://cf.geekdo-static.com/mbs/mb_26286_0.png
4 Attack
Each player gains a Wound.
Cost: 5
<font size='1'><i>Hulk's rages tear everything apart: Enemies. Friends. Pants.</i></font>

<b>Hulk Smash!</b> (1 copy)
https://cf.geekdo-static.com/mbs/mb_26286_0.png
5+ Attack
https://cf.geekdo-static.com/mbs/mb_26286_0.png: You get +5 Attack.
Cost: 8
<font size='1'><i>""PUNY HUMANS! HULK IS THE STRONGEST ONE THERE IS!""</i></font>
"	Base	B	Hulk (B)
Iron Man	"<font size='5'>Iron Man</font>
<font size='3'><i>Avengers</i></font>

<b>Endless Invention</b> (5 copies)
https://cf.geekdo-static.com/mbs/mb_26287_0.png
Draw a card.
https://cf.geekdo-static.com/mbs/mb_26287_0.png: Draw another card.
Cost: 3

<b>Repulsor Rays</b> (5 copies)
https://cf.geekdo-static.com/mbs/mb_26285_0.png
2+ Attack
https://cf.geekdo-static.com/mbs/mb_26285_0.png: You get +1 Attack.
Cost: 3
<font size='1'><i>Repulsor ray technology has many peaceful applications. This is not one of them.</i></font>

<b>Arc Reactor</b> (3 copies)
https://cf.geekdo-static.com/mbs/mb_26287_0.png
3+ Attack
https://cf.geekdo-static.com/mbs/mb_26287_0.png: You get +1 Attack for each other https://cf.geekdo-static.com/mbs/mb_26287_0.png Hero you played this turn.
Cost: 5

<b>Quantum Breakthrough</b> (1 copy)
https://cf.geekdo-static.com/mbs/mb_26287_0.png
Draw two cards.
https://cf.geekdo-static.com/mbs/mb_26287_0.png: Draw two more cards.
Cost: 7
"	Base	B	Iron Man (B)
Nick Fury	"<font size='5'>Nick Fury</font>
<font size='3'><i>S.H.I.E.L.D.</i></font>
<font size='1'><i>Art contains a gun</i></font>

<b>Battlefield Promotion</b> (5 copies)
https://cf.geekdo-static.com/mbs/mb_26283_0.png
You may KO a S.H.I.E.L.D. Hero from your hand or discard pile. If you do, you may gain a S.H.I.E.L.D. Officer to your hand.
Cost: 4

<b>High-Tech Weaponry</b> (5 copies)
https://cf.geekdo-static.com/mbs/mb_26287_0.png
2+ Attack
https://cf.geekdo-static.com/mbs/mb_26287_0.png: You get +1 Attack.
Cost: 3
<font size='1'><i>Fury always budgets one extra prototype for his personal collection.</i></font>

<b>Legendary Commander</b> (3 copies)
https://cf.geekdo-static.com/mbs/mb_26286_0.png
1+ Attack
You get +1 Attack for each other S.H.I.E.L.D. Hero you played this turn.
Cost: 6

<b>Pure Fury</b> (1 copy)
https://cf.geekdo-static.com/mbs/mb_26287_0.png
Defeat any Villain or Mastermind whose Attack is less than the number of S.H.I.E.L.D. Heroes in the KO pile.
Cost: 8
"	Base	B	Nick Fury (B)
Rogue	"<font size='5'>Rogue</font>
<font size='3'><i>X-Men</i></font>

<b>Borrowed Brawn</b> (5 copies)
https://cf.geekdo-static.com/mbs/mb_26286_0.png
1+ Attack
https://cf.geekdo-static.com/mbs/mb_26286_0.png: You get +3 Attack.
Cost: 4
<font size='1'><i>When Rogue steals super strength, enemies get super scared.</i></font>

<b>Energy Drain</b> (5 copies)
https://cf.geekdo-static.com/mbs/mb_26283_0.png
2+ Recruit
https://cf.geekdo-static.com/mbs/mb_26283_0.png: You may KO a card from your hand or discard pile. If you do, you get +1 Recruit.
Cost: 3

<b>Copy Powers</b> (3 copies)
https://cf.geekdo-static.com/mbs/mb_26283_0.png
Play this card as a copy of another Hero you played this turn. This card is both https://cf.geekdo-static.com/mbs/mb_26283_0.png and the color you copy.
Cost: 5

<b>Steal Abilities</b> (1 copy)
https://cf.geekdo-static.com/mbs/mb_26286_0.png
4 Attack
Each player discards the top card of their deck. Play a copy of each of those cards.
Cost: 8
"	Base	B	Rogue (B)
Spider-Man	"<font size='5'>Spider-Man</font>
<font size='3'><i>Spider Friends</i></font>

<b>Astonishing Strength</b> (5 copies)
https://cf.geekdo-static.com/mbs/mb_26286_0.png
1 Recruit
Reveal the top card of your deck. If that card costs 2 or less, draw it.
Cost: 2

<b>Great Responsibility</b> (5 copies)
https://cf.geekdo-static.com/mbs/mb_26284_0.png
1 Attack
Reveal the top card of your deck. If that card costs 2 or less, draw it.
Cost: 2

<b>Web-Shooters</b> (3 copies)
https://cf.geekdo-static.com/mbs/mb_26287_0.png
Rescue a Bystander.
Reveal the top card of your deck. If that card costs 2 or less, draw it.
Cost: 2

<b>The Amazing Spider-Man</b> (1 copy)
https://cf.geekdo-static.com/mbs/mb_26283_0.png
Reveal the top three cards of your deck. Put any that cost 2 or less into your hand. Put the rest back in any order.
Cost: 2
"	Base	B	Spider-Man (B)
Storm	"<font size='5'>Storm</font>
<font size='3'><i>X-Men</i></font>

<b>Gathering Stormclouds</b> (5 copies)
https://cf.geekdo-static.com/mbs/mb_26285_0.png
2 Recruit
https://cf.geekdo-static.com/mbs/mb_26285_0.png: Draw a card.
Cost: 3
<font size='1'><i>Two little raindrops. Then two billion.</i></font>

<b>Lightning Bolt</b> (5 copies)
https://cf.geekdo-static.com/mbs/mb_26285_0.png
2 Attack
Any Villain you fight on the Rooftops this turn gets -2 Attack.
Cost: 4

<b>Spinning Cyclone</b> (3 copies)
https://cf.geekdo-static.com/mbs/mb_26283_0.png
4 Attack
You may move a Villain to a new city space. Rescue any Bystanders captured by that Villain. (If you move a Villain to a city space that already has Villain, swap them.)
Cost: 6

<b>Tidal Wave</b> (1 copy)
https://cf.geekdo-static.com/mbs/mb_26285_0.png
5 Attack
Any Villain you fight on the Bridge this turn gets -2 Attack.
https://cf.geekdo-static.com/mbs/mb_26285_0.png: The Mastermind gets -2 Attack this turn.
Cost: 7
"	Base	B	Storm (B)
Thor	"<font size='5'>Thor</font>
<font size='3'><i>Avengers</i></font>

<b>Odinson</b> (5 copies)
https://cf.geekdo-static.com/mbs/mb_26286_0.png
2+ Recruit
https://cf.geekdo-static.com/mbs/mb_26286_0.png: You get +2 Recruit.
Cost: 3
<font size='1'><i>""Whosoever holds the hammer, if he be worthy, shall possess the power of Thor.""</i></font>

<b>Surge of Power</b> (5 copies)
https://cf.geekdo-static.com/mbs/mb_26285_0.png
2 Recruit
0+ Attack
If you made 8 or more Recruit this turn, you get +3 Attack.
Cost: 4

<b>Call Lightning</b> (3 copies)
https://cf.geekdo-static.com/mbs/mb_26285_0.png
3+ Attack
https://cf.geekdo-static.com/mbs/mb_26285_0.png: You get +3 Attack.
Cost: 6
<font size='1'><i>Lightning never strikes twice. Thor never needs to.</i></font>

<b>God of Thunder</b> (1 copy)
https://cf.geekdo-static.com/mbs/mb_26285_0.png
5 Recruit
0+ Attack
You can use Recruit as Attack this turn.
Cost: 8
<font size='1'><i>They call him the God of Thunder. His enemies better start praying.</i></font>
"	Base	B	Thor (B)
Wolverine	"<font size='5'>Wolverine</font>
<font size='3'><i>X-Men</i></font>

<b>Healing Factor</b> (5 copies)
https://cf.geekdo-static.com/mbs/mb_26284_0.png
2 Attack
You may KO a Wound from your hand or discard pile. If you do, draw a card.
Cost: 3

<b>Keen Senses</b> (5 copies)
https://cf.geekdo-static.com/mbs/mb_26284_0.png
1 Attack
https://cf.geekdo-static.com/mbs/mb_26284_0.png: Draw a card.
Cost: 2
<font size='1'><i>The only thing scarier than Wolverine tracking you is Wolverine finding you.</i></font>

<b>Frenzied Slashing</b> (3 copies)
https://cf.geekdo-static.com/mbs/mb_26284_0.png
2 Attack
https://cf.geekdo-static.com/mbs/mb_26284_0.png: Draw two cards.
Cost: 5
<font size='1'><i>Some villains get torn apart by guilt. Others get torn apart by Wolverine.</i></font>

<b>Berserker Rage</b> (1 copy)
https://cf.geekdo-static.com/mbs/mb_26284_0.png
0+ Attack
Draw three cards.
https://cf.geekdo-static.com/mbs/mb_26284_0.png: You get +1 Attack for each extra card you've drawn this turn.
Cost: 8


"	Base	B	Wolverine (B)
Angel	"<font size='5'>Angel</font>
<font size='3'><i>X-Men</i></font>

<b>Diving Catch</b> (5 copies)
https://cf.geekdo-static.com/mbs/mb_26286_0.png
2 Recruit
When a card effect causes you to discard this card, rescue a Bystander and draw two cards.
Cost: 4

<b>High-Speed Chase</b> (5 copies)
https://cf.geekdo-static.com/mbs/mb_26283_0.png
Draw two cards, then discard a card.
Cost: 3

<b>Drop off a Friend</b> (3 copies)
https://cf.geekdo-static.com/mbs/mb_26284_0.png
2+ Attack
You may discard a card. You get +Attack equal to that card's Cost.
Cost: 5

<b>Strength of Spirit</b> (1 copy)
https://cf.geekdo-static.com/mbs/mb_26286_0.png
4 Attack
Discard any number of cards. Draw that many cards.
Cost: 7
"	Dark City	DC	Angel (DC)
Bishop	"<font size='5'>Bishop</font>
<font size='3'><i>X-Men</i></font>

<b>Absorb Energies</b> (5 copies)
https://cf.geekdo-static.com/mbs/mb_26283_0.png
0+ Recruit
2 Attack
Whenever a card you own is KO'd this turn, you get +2 Recruit.
Cost: 3

<b>Whatever the Cost</b> (5 copies)
https://cf.geekdo-static.com/mbs/mb_26285_0.png
Draw a card.
https://cf.geekdo-static.com/mbs/mb_26283_0.png: You may KO a card from your hand or discard pile.
Cost: 2
<font size='1'><i>Art contains a gun</i></font>

<b>Concussive Blast</b> (3 copies)
https://cf.geekdo-static.com/mbs/mb_26285_0.png
3+ Attack
https://cf.geekdo-static.com/mbs/mb_26285_0.png, https://cf.geekdo-static.com/mbs/mb_26285_0.png: You get +3 Attack.
Cost: 5
<font size='1'><i>Bishop absorbs energy, channeling it back into devastating blasts.</i></font>

<b>Firepower from the Future</b> (1 copy)
https://cf.geekdo-static.com/mbs/mb_26287_0.png
4+ Attack
Discard the top four cards of your deck. You get +Attack equal to those cards' printed Attack.
X-Men: KO any number of those cards.
Cost: 7
<font size='1'><i>Art contains a gun</i></font>
"	Dark City	DC	Bishop (DC)
Blade	"<font size='5'>Blade</font>
<font size='3'><i>Marvel Knights</i></font>
<font size='1'><i>Art contains a gun</i></font>

<b>Night Hunter</b> (5 copies)
https://cf.geekdo-static.com/mbs/mb_26286_0.png
0+ Recruit
2 Attack
Whenever you defeat a Villain in the Sewers or Rooftops this turn, you get +2 Recruit.
Cost: 4

<b>Stalk the Prey</b> (5 copies)
https://cf.geekdo-static.com/mbs/mb_26283_0.png
2 Attack
You may move a Villain to an adjacent city space. If another Villain is already there, swap them.
Cost: 3

<b>Nowhere to Hide</b> (3 copies)
https://cf.geekdo-static.com/mbs/mb_26287_0.png
3 Attack
Whenever you defeat a Villain in the Sewers or Rooftops this turn, draw two cards.
Cost: 6

<b>Vampiric Surge</b> (1 copy)
https://cf.geekdo-static.com/mbs/mb_26284_0.png
0+ Attack
You get +1 Attack for each Villain in your Victory Pile.
Cost: 7
"	Dark City	DC	Blade (DC)
