mmtext	text
Dr. Doom	"

'''Always Leads''': Doombot Legion
'''Master Strike''': Each player with exactly 6 cards in hand reveals a https://cf.geekdo-static.com/mbs/mb_26287_0.png Hero or puts 2 cards from their hand on top of their deck.
Attack: 9
VP: 5

''Dark Technology''
'''Fight''': You may recruit a https://cf.geekdo-static.com/mbs/mb_26287_0.png or https://cf.geekdo-static.com/mbs/mb_26285_0.png Hero from the HQ for free.

''Monarch's Decree''
'''Fight''': Choose one: each other player draws a card or each other player discards a card.

''Secrets of Time Travel''
'''Fight''': Take another turn after this one.

''Treasures of Latveria''
'''Fight''': When you draw a new hand of cards at the end of this turn, draw three extra cards.

"
Loki	"

'''Always Leads''': Enemies of Asgard
'''Master Strike''': Each player reveals a https://cf.geekdo-static.com/mbs/mb_26286_0.png Hero or gains a Wound
Attack: 10
VP: 5

''Cruel Ruler''
'''Fight''': Defeat a Villain in the City for free.

''Maniacal Tyrant''
'''Fight''': KO up to four cards from your discard pile.

''Vanishing Illusions''
'''Fight''': Each other player KOs a Villain from their Victory Pile.

''Whispers and Lies''
'''Fight''': Each other player KOs two Bystanders from their Victory Pile.

"
Magneto	"

'''Always Leads''': Brotherhood
'''Master Strike''': Each player reveals an X-Men Hero or discards down to four cards.
Attack: 8
VP: 5

''Bitter Captor''
'''Fight''': Recruit an X-Men Hero from the HQ for free.

''Crushing Shockwave''
'''Fight''': Each other player reveals an X-Men Hero or gains two Wounds.

''Electromagnetic Bubble''
'''Fight''': Choose one of your X-Men Heroes. When you draw a new hand of cards at the end of this turn, add that Hero to your hand as a seventh card.

''Xavier's Nemesis''
'''Fight''': For each of your X-Men Heroes, rescue a Bystander.

"
Red Skull	"

'''Always Leads''': HYDRA
'''Master Strike''': Each player KOs a Hero from their hand.
Attack: 7
VP: 5

''Endless Resources''
'''Fight''': You get +4 Recruit.

''HYDRA Conspiracy''
'''Fight''': Draw two cards. Then draw another card for each HYDRA Villain in your Victory Pile.

''Negablast Grenades''
'''Fight''': You get +3 Attack.

''Ruthless Dictator''
'''Fight''': Look at the top three cards of your deck. KO one, discard one and put one back on top of your deck.



"
Apocalypse	"

'''Always Leads''': Four Horsemen
Four Horsemen Villains get +2 Attack
Apocalypse Wins: When Famine, Pestilence, War, and Death have escaped
'''Master Strike''': Each player reveals their hand and puts all their Heroes that cost 1 or more on top of their deck.
Attack: 12
VP: 6

''Apocalyptic Destruction''
'''Fight''': Each other player KOs two Heroes from their discard pile that each cost 1 or more.

''The End of All Things''
'''Fight''': Each other player reveals the top three cards of their deck, KOs each one of those cards that cost 1 or more, and puts the rest back in any order.

''Horsemen Are Drawing Nearer''
'''Fight''': Each other player plays a Four Horsemen Villain from their Victory Pile as if playing it from the Villain Deck.

''Immortal and Undefeated''
'''Fight''': If this is not the final Tactic, rescue six Bystanders and shuffle this Tactic back into the other Tactics.

"
Kingpin	"

Bribe
'''Always Leads''': Streets of New York
'''Master Strike''': Each player reveals a Marvel Knights Hero or discards their hand and draws 5 cards.
Attack: 13*
VP: 6

''Call a Hit''
'''Fight''': Choose a Hero from each player's discard pile and KO it.

''Criminal Empire''
'''Fight''': If this is not the final Tactic, reveal the top three cards of the Villain Deck. Play all the Villains you revealed. Put the rest back in random order.

''Dirty Cops''
'''Fight''': Put a 0 Cost Hero from the KO pile on top of each other player's deck.

''Mob War''
'''Fight''': Each other player plays a Henchman Villain from their Victory Pile as if playing it from the Villain Deck.

"
Mephisto	"

Whenever a player gains a Wound, put it on top of that player's deck.
'''Always Leads''': Underworld
'''Master Strike''': Each player reveals a Marvel Knights Hero or gains a Wound.
Attack: 10
VP: 6

''Damned If You Do...''
'''Fight''': Each other player KOs a Bystander from their Victory Pile or gains a Wound.

''Devilish Torment''
'''Fight''': Each other player puts all 0 Cost cards from their discard pile on top of their deck in any order.

''Pain Begets Pain''
'''Fight''': Choose any number of Wounds from your hand and discard pile. The player to your right gains them.

''The Price of Failure''
'''Fight''': Each other player without a Mastermind Tactic in their Victory Pile gains a Wound.

"
Mr. Sinister	"

Mr. Sinister gets +1 Attack for each Bystander he has.
'''Always Leads''': Marauders
'''Master Strike''': Mr. Sinister captures a Bystander. Then each player with exactly 6 cards reveals a https://cf.geekdo-static.com/mbs/mb_26283_0.png Hero or discards cards equal to the number of Bystanders Mr. Sinister has.
Attack: 8
VP: 6

''Human Experimentation''
'''Fight''': Mr. Sinister captures Bystanders equal to the number of Villains in the city.

''Master Geneticist''
'''Fight''': Reveal the top seven cards of the Villain Deck. Mr. Sinister captures all of the Bystanders you revealed. Put the rest back in random order.

''Plans Within Plans''
'''Fight''': Mr. Sinister captures a Bystander for each Mr. Sinister Tactic in players' Victory Piles, including this Tactic.

''Telepathic Manipulation''
'''Fight''': Mr. Sinister captures a Bystander from each other player's Victory Pile.

"
Stryfe	"

'''Always Leads''': MLF
'''Master Strike''': Stack this Master Strike next to Stryfe.
Stryfe gets +1 Attack for each Master Strike stacked next to him. Each player reveals an X-Force Hero or discards a card at random.
Attack: 7
VP: 6

''Furious Wrath''
'''Fight''': Reveal the top six cards of the Villain Deck. Play all the Master Strikes you revealed. Put the rest back in random order.

''Psychic Torment''
'''Fight''': Look at the top five cards of your deck. Put one into your hand and discard the rest.

''Swift Vengeance''
'''Fight''': A Wound from the Wound Stack becomes a Master Strike that takes effect immediately.

''Tide of Retribution''
'''Fight''': Each other player reveals an X-Force Hero or gains a Wound.



"
Galactus	"

Cosmic Threat: https://cf.geekdo-static.com/mbs/mb_26286_0.png https://cf.geekdo-static.com/mbs/mb_26284_0.png https://cf.geekdo-static.com/mbs/mb_26283_0.png https://cf.geekdo-static.com/mbs/mb_26287_0.png https://cf.geekdo-static.com/mbs/mb_26285_0.png
'''Always Leads''': Heralds of Galactus
'''Master Strike''': Destroy the city space closest to Galactus. Any Villain there escapes. Put this Master Strike there.
Galactus Wins: When the city is destroyed.
Attack: 20*
VP: 7

''Cosmic Entity''
'''Fight''': Choose https://cf.geekdo-static.com/mbs/mb_26286_0.png, https://cf.geekdo-static.com/mbs/mb_26284_0.png, https://cf.geekdo-static.com/mbs/mb_26283_0.png, https://cf.geekdo-static.com/mbs/mb_26287_0.png or https://cf.geekdo-static.com/mbs/mb_26285_0.png. Each player reveals any number of cards of that class, then draws that many cards.

''Force of Eternity''
'''Fight''': When you draw a new hand of cards at the end of this turn, draw six extra cards, then discard six cards.

''Panicked Mobs''
'''Fight''': Choose https://cf.geekdo-static.com/mbs/mb_26286_0.png, https://cf.geekdo-static.com/mbs/mb_26284_0.png, https://cf.geekdo-static.com/mbs/mb_26283_0.png, https://cf.geekdo-static.com/mbs/mb_26287_0.png or https://cf.geekdo-static.com/mbs/mb_26285_0.png. Each player reveals any number of cards of that class, then rescues that many Bystanders.

''Sunder the Earth''
'''Fight''': Each other player KOs all Heroes from their discard pile with the same card name as a Hero in the HQ.

"
