schemtext	text
The Legacy Virus	"<font size='4'>The Legacy Virus</font>
<b>Setup</b>: 8 Twists. Wound stack holds 6 Wounds per player.
<b>Twist</b>: Each player reveals a https://cf.geekdo-static.com/mbs/mb_26287_0.png Hero or gains a Wound.
<b>Evil Wins</b>: If the Wound stack runs out."
Midtown Bank Robbery	"<font size='4'>Midtown Bank Robbery</font>
<b>Setup</b>: 8 Twists. 12 total Bystanders in the Villain Deck.
<b>Special Rules</b>: Each Villain gets +1 Attack for each Bystander it has.
<b>Twist</b>: Any Villain in the Bank captures 2 Bystanders. Then play the top card of the Villain Deck.
<b>Evil Wins</b>: When 8 Bystanders are carried away by escaping Villains."
Negative Zone Prison Breakout	"<font size='4'>Negative Zone Prison Breakout</font>
<b>Setup</b>: 8 Twists. Add an extra Henchman group to the Villain Deck.
<b>Twist</b>: Play the top 2 cards of the Villain Deck.
<b>Evil Wins</b>: If 12 Villains escape."
Portals to the Dark Dimension	"<font size='4'>Portals to the Dark Dimension</font>
<b>Setup</b>: 7 Twists. Each Twist is a Dark Portal.
<b>Twist 1</b>: Put the Dark Portal above the Mastermind. The Mastermind gets +1 Attack.
<b>Twists 2-6</b>: Put the Dark Portal in the leftmost city space that doesn't yet have a Dark Portal. Villains in that city space get +1 Attack.
<b>Twist 7</b>: Evil Wins!"
Replace Earth's Leaders with Killbots	"<font size='4'>Replace Earth's Leaders with Killbots</font>
<b>Setup</b>: 5 Twists. 3 additional Twists next to this Scheme. 18 total Bystanders in the Villain Deck.
<b>Special Rules</b>: Bystanders in the Villain Deck count as Killbot Villains, with Attack equal to the number of Twists next to this Scheme.
<b>Twist</b>: Put the Twist next to this Scheme.
<b>Evil Wins</b>: If 5 ""Killbots"" escape."
Secret Invasion of the Skrull Shapeshifters	"<font size='4'>Secret Invasion of the Skrull Shapeshifters</font>
<b>Setup</b>: 8 Twists. 6 Heroes. Skrull Villain Group required. Shuffle 12 random Heroes from the Hero Deck into the Villain Deck.
<b>Special Rules</b>: Heroes in the Villain Deck count as Skrull Villains with Attack equal to the Hero's Cost +2. If you defeat that Hero, you gain it.
<b>Twist</b>: The highest-cost Hero from the HQ moves into the Sewers as a Skrull Villain, as above.
<b>Evil Wins</b>: If 6 Heroes get into the Escaped Villains pile."
Super Hero Civil War	"<font size='4'>Super Hero Civil War</font>
<b>Setup</b>: For 2-3 players, use 8 Twists. For 4-5 players, use 5 Twists. If only 2 players, use only 4 Heroes in the Hero Deck.
<b>Twist</b>: KO all the Heroes in the HQ.
<b>Evil Wins</b>: If the Hero Deck runs out."
Unleash the Power of the Cosmic Cube	"<font size='4'>Unleash the Power of the Cosmic Cube</font>
<b>Setup</b>: 8 Twists.
<b>Twist</b>: Put the Twist next to this Scheme.
<b>Twist 5-6</b>: Each player gains a Wound.
<b>Twist 7</b>: Each player gains 3 Wounds.
<b>Twist 8</b>: Evil Wins!


"
Capture Baby Hope	"<font size='4'>Capture Baby Hope</font>
<b>Setup</b>: 8 Twists. Put a token on this Scheme to represent the baby, Hope Summers.
<b>Twist</b>: If a Villain has the baby, that Villain escapes. Otherwise, the baby is captured by the closest Villain to the Villain Deck. (If there are no Villains, do nothing.)
<b>Special Rules</b>: The Villain with the baby gets +4 Attack. If you defeat that Villain, rescue the baby to your Victory Pile (until the next Twist). The baby is worth 6 VP at the end of the game. If a Villain escapes with the baby, stack a Twist next to the Mastermind and return the baby to this Scheme card.
<b>Evil Wins</b>: When there are 3 Twists stacked next to the Mastermind."
Detonate the Helicarrier	"<font size='4'>Detonate the Helicarrier</font>
<b>Setup</b>: 8 Twists. 6 Heroes in the Hero Deck.
<b>Special Rules</b>: Whenever a Hero is KO'd from the HQ, turn that Hero face down on that HQ space, representing an Explosion on the Helicarrier. When an HQ space has 6 Explosions, that space is Destroyed and can't hold Heroes anymore.
<b>Twist</b>: Stack this Twist next to the Scheme. Then for each Twist in that stack, KO the leftmost Hero in the HQ and immediately refill that space.
<b>Evil Wins</b>: When all HQ spaces are Destroyed or the Hero Deck runs out."
Massive Earthquake Generator	"<font size='4'>Massive Earthquake Generator</font>
<b>Setup</b>: 8 Twists.
<b>Twist</b>: Each player reveals a https://cf.geekdo-static.com/mbs/mb_26286_0.png Hero or KOs the top card of their deck.
<b>Evil Wins</b>: When the number of non grey Heroes in the KO pile is 3 times the number of players."
Organized Crime Wave	"<font size='4'>Organized Crime Wave</font>
<b>Setup</b>: 8 Twists. Include 10 Maggia Goons as one of the Henchman Groups.
<b>Special Rules</b>: Goons also have the ability ""Ambush: Play another card from the Villain Deck.""
<b>Twist</b>: Each Goon in the city escapes. Shuffle all Goons from each players' Victory Piles into the Villain Deck.
<b>Evil Wins</b>: When 5 Goons escape."
Save Humanity	"<font size='4'>Save Humanity</font>
<b>Setup</b>: 8 Twists. 24 Bystanders in the Hero Deck. (1 player: 12 Bystanders in the Hero Deck)
<b>Special Rules</b>: You may spend 2 Recruit to rescue a Bystander from the HQ.
<b>Twist</b>: KO all Bystanders in the HQ. Then each player reveals an https://cf.geekdo-static.com/mbs/mb_26284_0.png Hero or KOs a Bystander from their Victory Pile.
<b>Evil Wins</b>: When the number of Bystanders KO'd and/or carried off is 4 times the number of players."
Steal the Weaponized Plutonium	"<font size='4'>Steal the Weaponized Plutonium</font>
<b>Setup</b>: 8 Twists representing Plutonium. Add an extra Villain Group.
<b>Twist</b>: This Plutonium is captured by the closest Villain to the Villain Deck. If there are no Villains in the city, KO this Plutonium. Either way, play another card from the Villain Deck.
<b>Special Rules</b>: Each Villain gets +1 Attack for each Plutonium it has. When a Villain with any Plutonium is defeated, shuffle that Plutonium back into the Villain Deck.
<b>Evil Wins</b>: When 4 Plutonium have been carried off by Villains."
Transform Citizens Into Demons	"<font size='4'>Transform Citizens Into Demons</font>
<b>Setup</b>: 8 Twists. Villain Deck includes 14 extra Jean Grey cards and no Bystanders.
<b>Twist</b>: Stack 5 Bystanders face down next to the Scheme. Bystanders stacked here are ""Demon Goblin"" Villains. They have 2 Attack. Players can fight these Demon Goblins to rescue them as Bystanders.
<b>Special Rules</b>: Each Jean Grey card counts as a ""Goblin Queen"" Villain. It's worth 4 VP. It has Attack equal to its Cost plus the number of Demon Goblins stacked next to the Scheme.
<b>Evil Wins</b>: When 4 Goblin Queen cards escape."
X-Cutioner's Song	"<font size='4'>X-Cutioner's Song</font>
<b>Setup</b>: 8 Twists. Villain Deck includes 14 cards for an extra Hero and no Bystanders.
<b>Special Rules</b>: Whenever you play a Hero from the Villain Deck, that Hero is captured by the closest enemy to the Villain Deck. Each Villain gets +2 Attack for each Hero it has. When you fight an enemy, gain all the Heroes captured by that enemy.
<b>Twist</b>: KO all Heroes captured by enemies. Then play another card from the Villain Deck.
<b>Evil Wins</b>: 9 non grey Heroes are KO'd or carried off.


"
Bathe Earth In Cosmic Rays	"<font size='4'>Bathe the Earth in Cosmic Rays</font>
<b>Setup</b>: 6 Twists.
<b>Twist</b>: Each player in turn does the following: Reveal your hand. KO one of your non-grey Heroes. Choose a Hero from the HQ with the same or lower cost and put it into your hand.
<b>Evil Wins</b>: When the number of non-grey Heroes in the KO pile is six times the number of players."
Flood the Planet with Melted Glaciers	"<font size='4'>Flood the Planet with Melted Glaciers</font>
<b>Setup</b>: 8 Twists.
<b>Twist</b>: Stack the Twist next to the Scheme as ""Rising Waters."" Then KO each Hero from the HQ whose cost is less than or equal to the number of Rising Waters in that stack.
<b>Evil Wins</b>: When 20 non-grey Heroes are KO'd."
Invincible Force Field	"<font size='4'>Invincible Force Field</font>
<b>Setup</b>: 7 Twists.
<b>Twist</b>: Stack this Twist next to the Mastermind as a ""Force Field.""
<b>Special Rules</b>: To fight the Mastermind, you must also spend 1 Recruit or 1 Attack for each Force Field next to them.
<b>Twist 7</b>: Evil Wins!"
Pull Reality Into the Negative Zone	"<font size='4'>Pull Reality Into the Negative Zone</font>
<b>Setup</b>: 8 Twists.
<b>Twist 2, 4, and 6</b>: Until the next Twist, Enemies cost Recruit to fight and Heroes cost Attack to recruit.
<b>Twist 7</b>: Evil Wins!


"
The Clone Saga	"<font size='4'>The Clone Saga</font>
<b>Setup</b>: 8 Twists.
<b>Twist</b>: Each player reveals two non-grey Heroes with the same card name or discards down to 3 cards.
<b>Evil Wins</b>: When 2 Villains with the same card name have escaped or the Villain Deck runs out."
Invade the Daily Bugle News HQ	"<font size='4'>Invade the Daily Bugle News HQ</font>
<b>Setup</b>: 8 Twists. Add 6 extra Henchmen from a single Henchman Group to the Hero Deck.
<b>Special Rules</b>: You can fight Villains in the HQ.
<b>Twist</b>: KO a Hero from the HQ. Put the highest-Attack Villain from the city into that HQ space.
<b>Evil Wins</b>: When there are 5 Villains in the HQ."
Splice Humans with Spider DNA	"<font size='4'>Splice Humans with Spider DNA</font>
<b>Setup</b>: 8 Twists. Include Sinister Six as one of the Villain Groups.
<b>Special Rules</b>: Sinister Six Villains get +3 Attack. All Hero cards have Wall-Crawl.
<b>Twist</b>: Each player puts a Sinister Six Villain from their Victory Pile on top of the Villain Deck. No matter how many players did so, play a single card from the Villain Deck.
<b>Evil Wins</b>: When 6 Sinister Six Villains have escaped or the Villain Deck runs out."
Weave a Web of Lies	"<font size='4'>Weave a Web of Lies</font>
<b>Setup</b>: 7 Twists.
<b>Special Rules</b>: Whenever you defeat a Villain, you may pay 1 Recruit. If you do, rescue a Bystander.
You can't fight the Mastermind unless you have a Bystander in your Victory Pile for each Twist next to the Mastermind.
<b>Twist</b>: Stack this Twist next to the Mastermind.
<b>Twist 7</b>: Evil Wins!


"
Build an Underground MegaVault Prison	"<font size='4'>Build an Underground MegaVault Prison</font>
<b>Setup</b>: 8 Twists. The Bindings stack holds 5 Bindings per player.
<b>Twist</b>: If there is an Adversary in the Sewers, each player gains a Bindings. Otherwise, reveal the top card of the Adversary Deck. If that card is an Adversary, it enters the Sewers.
<b>Good Wins</b>: When the Bindings stack runs out."
Cage Villains in Power-Suppressing Cells	"<font size='4'>Cage Villains in Power-Suppressing Cells</font>
<b>Setup</b>: 8 Twists. Stack 2 Cops per player next to this Plot.
<b>Twist</b>: Each player returns all Cops from their Victory Pile to the Cop Stack. Then each player puts a non-grey Ally from their hand in front of them. Put a Cop from the Cop Stack on top of each of those Allies.
<b>Special Rules</b>: You can fight any Cop on top of Allies. If you do, the player of your choice gains that Ally.
<b>Good Wins</b>: When a Twist must put out a Cop, but the Cop Stack is already empty."
Crown Thor King of Asgard	"<font size='4'>Crown Thor King of Asgard</font>
<b>Setup</b>: 8 Twists. Put the Thor Adversary next to this Plot.
<b>Twist</b>: If Thor is in the city, he overruns. Otherwise, Thor enters the Bridge from wherever he is, and Thor guards 3 Bystanders.
<b>Special Rules</b>: Whenever Thor overruns, stack a Plot Twist from the KO pile next to this Plot as a ""Triumph of Asgard.""
<b>Good Wins</b>: When there are 3 Triumphs of Asgard next to this Plot."
