viltext	text
Brotherhood	"

''Blob'' (2 copies)
You can't defeat Blob unless you have an X-Men Hero.
'''Attack''': 4
'''VP''': 2

''Juggernaut'' (2 copies)
'''Ambush''': Each player KOs two Heroes from their discard pile.
'''Escape''': Each player KOs two Heroes from their hand.
'''Attack''': 6
'''VP''': 4

''Mystique'' (2 copies)
'''Escape''': Mystique becomes a Scheme Twist that takes effect immediately.
'''Attack''': 5
'''VP''': 3

''Sabretooth'' (2 copies)
'''Fight''': Each player reveals an X-Men Hero or gains a Wound.
'''Escape''': Same effect.
'''Attack''': 5
'''VP''': 3

"
Enemies of Asgard	"

''Destroyer'' (1 copy)
'''Fight''': KO all your S.H.I.E.L.D. Heroes.
'''Escape''': Each player KOs two of their Heroes.
'''Attack''': 7
'''VP''': 5

''Enchantress'' (2 copies)
'''Fight''': Draw three cards
'''Attack''': 6
'''VP''': 4

''Frost Giant'' (3 copies)
'''Fight''': Each player reveals a https://cf.geekdo-static.com/mbs/mb_26285_0.png Hero or gains a Wound.
'''Escape''': Same effect.
'''Attack''': 4
'''VP''': 2

''Ymir, Frost Giant King'' (2 copies)
'''Ambush''': Each player reveals a https://cf.geekdo-static.com/mbs/mb_26285_0.png Hero or gains a Wound.
'''Fight''': Choose a player. That player KOs any number of Wounds from their hand and discard pile.
'''Attack''': 6
'''VP''': 4

"
HYDRA	"

''Endless Armies of HYDRA'' (3 copies)
'''Fight''': Play the top two cards of the Villain Deck.
'''Attack''': 4
'''VP''': 3

''HYDRA Kidnappers'' (3 copies)
'''Fight''': You may gain a S.H.I.E.L.D. Officer.
'''Attack''': 3
'''VP''': 1

''Supreme HYDRA'' (1 copy)
Supreme HYDRA is worth +3 VP for each other HYDRA Villain in your Victory Pile.
'''Attack''': 6
'''VP''': 3+

''Viper'' (1 copy)
'''Fight''': Each player without another HYDRA Villain in their Victory Pile gains a Wound.
'''Escape''': Same effect.
'''Attack''': 5
'''VP''': 3

"
Masters of Evil	"

''Baron Zemo'' (2 copies)
'''Fight''': For each of your Avengers Heroes, rescue a Bystander.
'''Attack''': 6
'''VP''': 4

''Melter'' (2 copies)
'''Fight''': Each player reveals the top card of their deck. For each card, you choose to KO it or put it back.
'''Attack''': 5
'''VP''': 3

''Ultron'' (2 copies)
Ultron is worth +1 VP for each https://cf.geekdo-static.com/mbs/mb_26287_0.png Hero you have among all your cards at the end of the game.
'''Escape''': Each player reveals a https://cf.geekdo-static.com/mbs/mb_26287_0.png Hero or gains a Wound.
'''Attack''': 6
'''VP''': 2+

''Whirlwind'' (2 copies)
'''Fight''': If you fight Whirlwind on the Rooftops or Bridge, KO two of your Heroes.
'''Attack''': 4
'''VP''': 2

"
Radiation	"

''Abomination'' (2 copies)
'''Fight''': If you fight Abomination on the Streets or Bridge, rescue three Bystanders.
'''Attack''': 5
'''VP''': 3

''The Leader'' (2 copies)
'''Ambush''': Play the top card of the Villain Deck.
'''Attack''': 4
'''VP''': 2

''Maestro'' (2 copies)
'''Fight''': For each of your https://cf.geekdo-static.com/mbs/mb_26286_0.png Heroes, KO one of your Heroes.
'''Attack''': 6
'''VP''': 4

''Zzzax'' (2 copies)
'''Fight''': Each player reveals a https://cf.geekdo-static.com/mbs/mb_26286_0.png Hero or gains a Wound.
'''Escape''': Same effect.
'''Attack''': 5
'''VP''': 3

"
Skrulls	"

''Paibok the Power Skrull'' (1 copy)
'''Fight''': Choose a Hero in the HQ for each player. Each player gains that Hero.
'''Attack''': 8
'''VP''': 3

''Skrull Queen Veranke'' (1 copy)
'''Ambush''': Put the highest-cost Hero from the HQ under this Villain. This Villain's Attack is equal to that Hero's Cost.
'''Fight''': Gain that Hero.
'''Attack''': *
'''VP''': 4

''Skrull Shapeshifters'' (3 copies)
'''Ambush''': Put the rightmost Hero from the HQ under this Villain. This Villain's Attack is equal to that Hero's Cost.
'''Fight''': Gain that Hero
'''Attack''': *
'''VP''': 2

''Super-Skrull'' (3 copies)
'''Fight''': Each player KOs one of their Heroes.
'''Attack''': 4
'''VP''': 2

"
Spider-Foes	"

''Doctor Octopus'' (2 copies)
'''Fight''': When you draw a new hand of cards at the end of this turn, draw eight cards instead of six.
'''Attack''': 4
'''VP''': 2

''Green Goblin'' (2 copies)
'''Ambush''': Green Goblin captures a Bystander.
'''Attack''': 6
'''VP''': 4

''The Lizard'' (2 copies)
'''Fight''': If you fight the Lizard in the Sewers, each other player gains a Wound.
'''Attack''': 3
'''VP''': 2

''Venom'' (2 copies)
You can't defeat Venom unless you have a https://cf.geekdo-static.com/mbs/mb_26283_0.png Hero.
'''Escape''': Each player gains a Wound.
'''Attack''': 5
'''VP''': 3



"
Emissaries of Evil	"

''Egghead'' (2 copies)
'''Ambush''': Reveal the top card of the Villain Deck. If it's a Villain, play it.
'''Attack''': 4
'''VP''': 2

''Electro'' (2 copies)
'''Ambush''': Reveal the top card of the Villain Deck. If it's a Scheme Twist, play it.
'''Attack''': 6
'''VP''': 4

''Gladiator'' (2 copies)
'''Ambush''': Reveal the top card of the Villain Deck. If it's a Bystander, Gladiator captures it.
'''Attack''': 5
'''VP''': 3

''Rhino'' (2 copies)
'''Ambush''': Reveal the top card of the Villain Deck. If it's a Master Strike, each player gains a Wound.
'''Escape''': Each player gains a Wound.
'''Attack''': 5
'''VP''': 3

"
Four Horsemen	"

''Death'' (2 copies)
'''Fight''': Each other player reveals their hand and KOs one of their Heroes that costs 1 or more.
'''Escape''': Each player does that same effect.
'''Attack''': 7
'''VP''': 5

''Famine'' (2 copies)
'''Fight''': Each other player reveals an https://cf.geekdo-static.com/mbs/mb_26284_0.png Hero or discards a card.
'''Escape''': Each player does that same effect.
'''Attack''': 4
'''VP''': 2

''Pestilence'' (2 copies)
'''Fight''': Each other player reveals the top three cards of their deck, discards each of those cards that costs 1 or more, and puts the rest back in any order.
'''Escape''': Each player does that same effect.
'''Attack''': 5
'''VP''': 3

''War'' (2 copies)
'''Fight''': Each other player reveals an https://cf.geekdo-static.com/mbs/mb_26284_0.png Hero or gains a Wound.
'''Escape''': Each player does that same effect.
'''Attack''': 6
'''VP''': 4

"
Marauders	"

''Blockbuster'' (2 copies)
Blockbuster gets +2 Attack for each Bystander he has.
'''Ambush''': If there is a Villain in the Bank that Villain and Blockbuster each capture a Bystander.
'''Attack''': 4+
'''VP''': 2

''Chimera'' (2 copies)
Chimera gets +3 Attack for each Bystander she has.
'''Ambush''': Reveal the top three cards of the Villain Deck. Chimera captures all the Bystander cards you revealed. Put the rest back in random order.
'''Attack''': 3+
'''VP''': 3

''Scalphunter'' (2 copies)
Scalphunter gets +1 Attack for each Bystander he has.
'''Ambush''': Each player chooses a Bystander from their Victory Pile. Scalphunter captures those Bystanders.
'''Attack''': 4+
'''VP''': 2

''Vertigo'' (2 copies)
'''Fight''': Each player discards all the cards in their hand, then draws as many cards as they discarded.
'''Attack''': 5
'''VP''': 3

"
