"guid"	"posX"	"posY"	"posZ"	"name"
"1737b5"	"25"	"5.197198"	"-28.12481"	"handguids--[Red]"
"c83e11"	"-5"	"5.197198"	"-28.12481"	"handguids--[Green]"
"627472"	"-35"	"5.197198"	"-28.12481"	"handguids--[Yellow]"
"8c01fa"	"55"	"5.197198"	"-28.12481"	"handguids--[Blue]"
"bd8b5c"	"-65"	"5.197198"	"-28.12481"	"handguids--[White]"
"437cd7"	"-0.000187599682"	"-42.2"	"0.00018766518"	"board"
"0b2ed0"	"-0.0246162415"	"-41.99"	"0"	"table"
"16594d"	"65.1443939"	"1.06614149"	"30.1228065"	"heroPileGUID"
"de8160"	"72"	"1.06623387"	"30"	"hmPileGUID"
"c7e1d5"	"71.9999847"	"1.06619477"	"39.000042"	"mmPileGUID"
"912967"	"66.7887344"	"1.70999837"	"18.06066"	"setupGUID"
"7e889c"	"-0.7"	"0.8070743"	"14.6342363"	"playmat"
"653663"	"18.8047514"	"2.05211139"	"17.7209161"	"woundsDeckGUID"
"e27f77"	"-42.378643"	"-9999.823"	"-43.8546143"	"babyhope"
"c82082"	"78.7813"	"0.86853236"	"30.8676243"	"twistPileGUID"
"eff5ba"	"0.117556825"	"-0.99360466"	"-48.00959"	"shardGUID"
"e84ef1"	"65.35509"	"0.8635776"	"45.4889946"	"shard"
"9e9018"	"79.5639648"	"0.8637703"	"44.8999252"	"shard"
"f02b31"	"68.08022"	"0.7511158"	"45.0685"	"shard"
"34e239"	"71.72378"	"0.7511659"	"44.741848"	"shard"
"115914"	"75.90972"	"0.8637245"	"44.19958"	"shard"
"2fc7aa"	"-38.65824"	"-10001.0107"	"-37.73854"	"attackbag"
"aabe45"	"-10.4518566"	"1.70650852"	"4.262468"	"hqguids--1"
"0cd6a9"	"14.0916433"	"2.74501181"	"3.73335147"	"heroDeckZoneGUID"
"4bc134"	"14.1071005"	"4.15676069"	"11.0718241"	"villainDeckZoneGUID"
"8280ca"	"27"	"1"	"2.5"	"drawvillain"
"f3c7e3"	"31"	"1"	"2.5"	"pushvillainsguid"
"82ccd7"	"-10.5981274"	"4.156431"	"11.3489475"	"city_zones_guids--6"
