id	setup
1	"Televised Deathtraps of Mojoworld
11
2
12
Immortal Emperor Zheng-Zhu
K'un-lun|Monsters Unleashed
Ghost Racers
Deadpool (DP)|Peter's Allies (HC)|Crystal (ROK)|Phyla-Vell (ITC)|Proxima Midnight (SW1)"
2	"Portals to the Dark Dimension
7
2
0
Shiklah, the Demon Bride
Monster Metropolis|Elders of the Universe
Shi'ar Patrol Craft
Speed (R)|Korg (WW)|Miek, The Unhived (WW)|Quicksilver (R)|Green Goblin (V)"
3	"Cage Villains in Power-Suppressing Cells
8
2
0
The Red King
Sakaar Imperial Guard|Murderworld
Spider-Infected
Spider-Gwen (SW2)|Angel (DC)|Viv Vision (CH)|Proxima Midnight (SW1)|Groot (GG)"
4	"Nitro the Supervillain Threatens Crowds
8
2
0
Magneto
Brotherhood|X-Men Noir
M.O.D.O.K.s
Ultimate Spider-Man (SW1)|Daredevil (DC)|Quake (AOS)|Enchantress (V)|Peter Parker (CW)"
5	"Break the Planet Asunder
9
2
0
Zombie Green Goblin
The Deadlands|Salvagers
Magma Men
Electro (V)|Longshot (XM)|Thor (B)|Hiroim (WW)|Terrible Jean Grey (SW2)|Ronin (R)|Steve Rogers, Director of S.H.I.E.L.D. (C75)"
6	"Flood the Planet with Melted Glaciers
8
2
0
Arnim Zola
Zola's Creations|Thunderbolts
Hand Ninjas
Wasp (AM)|Psylocke (XM)|Ultimate Spider-Man (SW1)|Black Bolt (ROK)|Namor, the Sub-Mariner (SW1)"
7	"Televised Deathtraps of Mojoworld
11
2
12
The Sentry
Aspects of the Void|Enemies of Asgard
Shi'ar Patrol Craft
Kingpin (V)|Namora (WW)|Spider-Woman (PTT)|Maximus (SW1)|Havok (XM)"
8	"Graduation at Xavier's X-Academy
8
2
0
Malekith the Accursed - epic
Dark Council|Vulture Tech
Phalanx
Karnak (ROK)|Black Panther (SW1)|Iron Man (B)|Daredevil Noir (N)|Rick Jones (WW)"
9	"Trap Heroes in the Microverse
11
2
0
Apocalypse
Four Horsemen|Evil Deadpool Corpse
The Brood
Colossus (DC)|Spider-Woman (PTT)|Drax the Destroyer (GG)|Dr. Octopus (V)|Phyla-Vell (ITC)
Howard the Duck (D)"
10	"Master the Mysteries of Kung-Fu
8
2
0
Poison Thanos - epic
Poisons|Masters of Evil
Ghost Racers
Skaar, Son of Hulk (WW)|Psi-Lord (ANH)|Amadeus Cho (WW)|Peter Parker (CW)|Speedball (CW)"
11	"Pull Reality Into the Negative Zone
8
2
0
Hydra Super-Adaptoid
A.I.M., Hydra Offshoot|Manhattan (Earth-1610)
Thor Corps
Blade (DC)|Silk (SW2)|Cannonball (XM)|Iron Fist (DC)|Happy Hogan (HC)"
12	"Sinister Ambitions
6
2
0
M.O.D.O.K.
Intelligencia|Superhuman Registration Act
Spider-Slayer
Jessica Jones (D)|Thor (HOA)|Deadpool (B)|Arkon the Magnificent (SW2)|Hulkbuster Iron Man (WW)"
13	"Televised Deathtraps of Mojoworld
11
2
12
Ragnarok
Registration Enforcers|Utopolis
Cape-Killers
Iron Man (B)|Ultimate Spider-Man (SW1)|Gorgon (ROK)|War Machine (R)|Captain Marvel, Agent of S.H.I.E.L.D. (R)"
14	"Unite the Shards
7
2
0
Belasco, Demon Lord of Limbo
Demons of Limbo|Defenders
Phalanx
Old Man Logan (SW1)|Cable (DC)|The Warriors Three (HOA)|Totally Awesome Hulk (CH)|Tigra (CW)"
15	"The Korvac Saga
8
2
0
Thanos
Infinity Gems|Ultron's Legacy
S.H.I.E.L.D. Assault Squad
Quake (AOS)|Captain America 1941 (C75)|Gambit (B)|Dr. Punisher, Soldier Supreme (SW2)|Green Goblin (V)"
16	"Deadpool Writes a Scheme
6
2
0
General Ross
Code Red|Domain of Apocalypse
Cops
Slapstick (DP)|Captain Marvel, Agent of S.H.I.E.L.D. (R)|Arkon the Magnificent (SW2)|Photon (R)|Dr. Strange (SW1)"
