Team	Hero	Name	Set	Split	Name_S	T0	C	Ct	B	R	G	Y	S	Br	Rr	Gr	Yr	Sr	SP	MO	FI	Drw	Dsc	Top	Bs	Wd	Cty	NR	C2	C4	CD	SK	LS	LT	TE	Pierc	HM	KO	KBS	AF	Vil	MF	VS	DC	SRD	FHQ	SHL	XTR	file	loc	id	uni	keywords	seq
X-Men	Phoenix	Obliterating Fire	XM				3	5	1																											1		2										Soaring Flight	xmen3,jpg	5 2	Phoenix (XM)	Phoenix (XM)	Soaring Flight|Piercing Energy	1
X-Men	Phoenix	Life & Death Incarnate	XM				4	5			1									1																		2											xmen3,jpg	7 2	Phoenix (XM)	Phoenix (XM)	""	2
X-Men	Phoenix	Reincarnating Phoenix	XM				6	3		1												1																-2											xmen3,jpg	2 2	Phoenix (XM)	Phoenix (XM)	""	3
X-Men	Phoenix	Driven mad	XM				9	1			1										1			-1														2										umad?	xmen3,jpg	4 2	Phoenix (XM)	Phoenix (XM)	Berserk	4
X-Men	Phoenix Force Cyclops	Burn out	SW2				4	5	1												1																	2											sw22,jpg	4 5	Phoenix Force Cyclops (SW2)	Phoenix Force Cyclops (SW2)	""	5
X-Men	Phoenix Force Cyclops	Reincarnate	SW2				3	5		1																												2											sw22,jpg	3 5	Phoenix Force Cyclops (SW2)	Phoenix Force Cyclops (SW2)	""	6
X-Men	Phoenix Force Cyclops	Rise from the ashes	SW2				6	3	1			1									1																	-2											sw22,jpg	5 5	Phoenix Force Cyclops (SW2)	Phoenix Force Cyclops (SW2)	""	7
X-Men	Phoenix Force Cyclops	Destruct is creat	SW2				8	1	1												1	1																1											sw22,jpg	6 5	Phoenix Force Cyclops (SW2)	Phoenix Force Cyclops (SW2)	""	8
X-Men	Polaris	EM pulse	XM				4	5	1					1								1														1													xmen3,jpg	3 2	Polaris (XM)	Polaris (XM)	Piercing Energy	9
X-Men	Polaris	Ride the M waves	XM				3	5		1					1					1																												Soaring Flight	xmen3,jpg	6 2	Polaris (XM)	Polaris (XM)	Soaring Flight	10
X-Men	Polaris	Subtle attunement	XM				6	3		1					1						1			1														1										Soaring Flight	xmen3,jpg	1 2	Polaris (XM)	Polaris (XM)	Soaring Flight	11
X-Men	Polaris	Reverse polarity	XM				8	1		1										1															1													Mix MO and FI	xmen3,jpg	10 1	Polaris (XM)	Polaris (XM)	Soaring Flight|X-Gene	12
X-Men	Professor X	Psionic Astral form	DC				2	5	1												1														1														darkcity,jpg	6 4	Professor X (DC)	Professor X (DC)	""	13
X-Men	Professor X	Class dismissed	DC				3	5				1					1			1																		1										Filter HQ	darkcity,jpg	7 4	Professor X (DC)	Professor X (DC)	""	14
X-Men	Professor X	Telepathic probe	DC				5	3	1												1																				1							Probe villain deck	darkcity,jpg	5 4	Professor X (DC)	Professor X (DC)	""	15
X-Men	Professor X	Mind Control	DC				8	1		1											1																											Gain villains as heroes	darkcity,jpg	8 4	Professor X (DC)	Professor X (DC)	""	16
X-Men	Psylocke	Psychic Knife	XM				2	5				1					1					1														1													xmen3,jpg	10 3	Psylocke (XM)	Psylocke (XM)	Piercing Energy	17
X-Men	Psylocke	Precognition	XM				3	5		1										1		1																										Probe hero deck	xmen3,jpg	5 3	Psylocke (XM)	Psylocke (XM)	""	18
X-Men	Psylocke	Butterfly effect	XM				5	3		1					1																				1	1													xmen3,jpg	8 3	Psylocke (XM)	Psylocke (XM)	Piercing Energy|X-Gene	19
X-Men	Psylocke	Telepathic NJ	XM				7	1				1																								1												Free heroes!	xmen3,jpg	7 3	Psylocke (XM)	Psylocke (XM)	Piercing Energy	20
X-Men	Rogue	Energy drain	B				3	5		1					1					1																		1											base2,jpg	4 3	Rogue (B)	Rogue (B)	""	21
X-Men	Rogue	Borrowed brawn	B				4	5			1					1					1																												base2,jpg	5 3	Rogue (B)	Rogue (B)	""	22
X-Men	Rogue	Copy powers	B				5	3		1																																						Clone	base2,jpg	2 3	Rogue (B)	Rogue (B)	""	23
X-Men	Rogue	Steal abilities	B				8	1			1										1																											Clone	base2,jpg	3 3	Rogue (B)	Rogue (B)	""	24
X-Men	Ruby Summers	Guerilla warfare	SW2				3	5	1												1		-1																										sw22,jpg	7 5	Ruby Summers (SW2)	Ruby Summers (SW2)	Teleport	25
X-Men	Ruby Summers	Heir to legends	SW2				5	5	1		1									1	1		1																										sw22,jpg	8 5	Ruby Summers (SW2)	Ruby Summers (SW2)	""	26
X-Men	Ruby Summers	Form of solid ruby	SW2				6	3			1									1	1														1														sw22,jpg	9 5	Ruby Summers (SW2)	Ruby Summers (SW2)	""	27
X-Men	Ruby Summers	Extinction blast	SW2				8	1	1												1		1																										sw22,jpg	10 5	Ruby Summers (SW2)	Ruby Summers (SW2)	""	28
X-Men	Soulsword Colossus	Invade the inferno	SW2		Colossus		3	5		1					1					1					1													1											sw22,jpg	1 4	Soulsword Colossus (SW2)	Soulsword Colossus (SW2)	""	29
X-Men	Soulsword Colossus	Steel interception	SW2		Colossus		4	5		1	1										1					-1																							sw22,jpg	2 4	Soulsword Colossus (SW2)	Soulsword Colossus (SW2)	""	30
X-Men	Soulsword Colossus	Possessed by the SS	SW2		Colossus		6	3			1					1					1					1																						Gets other players wounds	sw22,jpg	3 4	Soulsword Colossus (SW2)	Soulsword Colossus (SW2)	Cross-Dimensional Rampage	31
X-Men	Soulsword Colossus	Rescue family from hell	SW2		Colossus		7	1				1									1														1													Free heroes!	sw22,jpg	4 4	Soulsword Colossus (SW2)	Soulsword Colossus (SW2)	""	32
X-Men	Storm	Lightning Bolt	B				4	5	1												1						-1																					Rooftops	base2,jpg	6 5	Storm (B)	Storm (B)	""	33
X-Men	Storm	Gathering stormclouds	B				3	5	1					1						1		1																											base2,jpg	4 5	Storm (B)	Storm (B)	""	34
X-Men	Storm	Spinning cyclone	B				6	3		1											1						1																						base2,jpg	5 5	Storm (B)	Storm (B)	""	35
X-Men	Storm	Tidal Wave	B				7	1	1					1							1						-1																						base2,jpg	3 5	Storm (B)	Storm (B)	""	36
X-Men	Terrible Jean Grey	Bridge to nowhere	SW2		Jean Grey		4	5				1															-1																					Might maybe draw you something extra maybe	sw22,jpg	4 7	Terrible Jean Grey (SW2)	Terrible Jean Grey (SW2)	Patrol	37
X-Men	Terrible Jean Grey	Throw over the rail	SW2		Jean Grey		3	5		1					1						1						-1																						sw22,jpg	3 7	Terrible Jean Grey (SW2)	Terrible Jean Grey (SW2)	""	38
X-Men	Terrible Jean Grey	Telekinesis	SW2		Jean Grey		5	3	1	1											1						1																						sw22,jpg	5 7	Terrible Jean Grey (SW2)	Terrible Jean Grey (SW2)	""	39
X-Men	Terrible Jean Grey	Change history	SW2		Jean Grey		7	1		1											1						-1								1														sw22,jpg	6 7	Terrible Jean Grey (SW2)	Terrible Jean Grey (SW2)	Patrol	40
X-Men	Wolverine	Keen sense	B				2	5				1					1				1	1																											base2,jpg	4 6	Wolverine (B)	Wolverine (B)	""	41
X-Men	Wolverine	Healing factor	B				3	5				1									1					-1																							base2,jpg	3 6	Wolverine (B)	Wolverine (B)	""	42
X-Men	Wolverine	Frenzied slashing	B				5	3				1					1				1	1																											base2,jpg	1 6	Wolverine (B)	Wolverine (B)	""	43
X-Men	Wolverine	Berserker rage	B				8	1				1					1				1	1																											base2,jpg	2 6	Wolverine (B)	Wolverine (B)	""	44
X-Men	X-23	Adm foot claws	XM				3	5					1				1				1	1																											xmen3,jpg	1 6	X-23 (XM)	X-23 (XM)	X-Gene	45
X-Men	X-23	Healing factor genome	XM				4	5				1									1			-1		-1																							xmen3,jpg	4 6	X-23 (XM)	X-23 (XM)	Berserk	46
X-Men	X-23	Bioeng assassin	XM				6	3		1							1				1			-1														1											xmen3,jpg	9 5	X-23 (XM)	X-23 (XM)	Berserk|X-Gene	47
X-Men	X-23	Heir to wolverine	XM				7	1				1					2				1			-1																									xmen3,jpg	8 5	X-23 (XM)	X-23 (XM)	Berserk|X-Gene	48
Fantastic Four	Thing	Started on Yancy Str	FF				3	5				1								1															1														ff,jpg	4 1	Thing (FF)	Thing (FF)	""	49
Fantastic Four	Thing	Knuckle sandwich	FF				5	5			1									1	1																											Focus	ff,jpg	5 1	Thing (FF)	Thing (FF)	Focus	50
Fantastic Four	Thing	Crime Stopper	FF				6	3			1										1				1		1																						ff,jpg	3 1	Thing (FF)	Thing (FF)	Focus	51
Fantastic Four	Thing	Clobberin time	FF				8	1			1					2					1																												ff,jpg	2 1	Thing (FF)	Thing (FF)	""	52
Fantastic Four	Mr. Fantastic	Twisting equations	FF				3	5					1							1																												draw extra for new hand	pttr,jpg	7 5	Mr. Fantastic (FF)	Mr. Fantastic (FF)	Focus	53
Fantastic Four	Mr. Fantastic	Unstable molecules	FF				5	5					1									1																											pttr,jpg	6 5	Mr. Fantastic (FF)	Mr. Fantastic (FF)	""	54
Fantastic Four	Mr. Fantastic	One gigantic hand	FF				5	3				1									1	-1													1														pttr,jpg	8 5	Mr. Fantastic (FF)	Mr. Fantastic (FF)	""	55
Fantastic Four	Mr. Fantastic	Ultimate nullifier	FF				7	1					1								1																											Focus, cancel fight effects	pttr,jpg	5 5	Mr. Fantastic (FF)	Mr. Fantastic (FF)	Focus	56
Fantastic Four	Invisible Woman	Disappearing act	FF				4	5		1										1																		1										Focus	pttr,jpg	1 6	Invisible Woman (FF)	Invisible Woman (FF)	Focus	57
Fantastic Four	Invisible Woman	Four of a kind	FF				4	5	1												1									1																			pttr,jpg	10 5	Invisible Woman (FF)	Invisible Woman (FF)	""	58
Fantastic Four	Invisible Woman	Unseen rescue	FF				4	3		1											1				1																							Focus	pttr,jpg	2 6	Invisible Woman (FF)	Invisible Woman (FF)	Focus	59
Fantastic Four	Invisible Woman	Invisible barrier	FF				7	1		1											1																											Cancel ambush effects	pttr,jpg	9 5	Invisible Woman (FF)	Invisible Woman (FF)	""	60
Fantastic Four	Human Torch	Hothead	FF				4	5	1												1					1																							ff,jpg	7 1	Human Torch (FF)	Human Torch (FF)	""	61
Fantastic Four	Human Torch	Call for backup	FF				3	5				1								1						-1																							ff,jpg	9 1	Human Torch (FF)	Human Torch (FF)	""	62
Fantastic Four	Human Torch	Flame on	FF				6	3	1												1																											Focus	ff,jpg	6 1	Human Torch (FF)	Human Torch (FF)	Focus	63
Fantastic Four	Human Torch	Nova Flame	FF				8	1	1												1														1														ff,jpg	8 1	Human Torch (FF)	Human Torch (FF)	""	64
X-Men	Angel	High-speed chase	DC				3	5		1												1	1																										ff,jpg	9 2	Angel (DC)	Angel (DC)	""	65
X-Men	Angel	Diving Catch	DC				4	5			1									1		1	-1		1																								ff,jpg	10 2	Angel (DC)	Angel (DC)	""	66
X-Men	Angel	Drop of a friend	DC				5	3				1									1		1																										ff,jpg	8 2	Angel (DC)	Angel (DC)	""	67
X-Men	Angel	Strength of Spirit	DC				7	1			1										1	1	1																										ff,jpg	1 3	Angel (DC)	Angel (DC)	""	68
X-Men	Angel Noir	Impetuous Dive	N		Angel		3	5				1					1				1																												noir,jpg	7 2	Angel Noir (N)	Angel Noir (N)	""	69
X-Men	Angel Noir	Multitalented	N		Angel		4	5			1									1	1	1		-1																									noir,jpg	9 2	Angel Noir (N)	Angel Noir (N)	Investigate	70
X-Men	Angel Noir	Identical twin brother	N		Angel		5	3				1								1	1																					1						Filter HQ	noir,jpg	10 2	Angel Noir (N)	Angel Noir (N)	""	71
X-Men	Angel Noir	Missing person case	N		Angel		8	1		1											1																											Free heroes!	noir,jpg	8 2	Angel Noir (N)	Angel Noir (N)	Investigate	72
X-Men	Apocalyptic Kitty Pryde	Phase-out	SW1				4	5		1					1						1																	1											sw12,jpg	4 5	Apocalyptic Kitty Pryde (SW1)	Apocalyptic Kitty Pryde (SW1)	""	73
X-Men	Apocalyptic Kitty Pryde	Infiltrate HQ	SW1				3	5					1							1																												Filter HQ	sw12,jpg	3 5	Apocalyptic Kitty Pryde (SW1)	Apocalyptic Kitty Pryde (SW1)	""	74
X-Men	Apocalyptic Kitty Pryde	Disrupt Circuits	SW1				5	3		1			1					1			1																												sw12,jpg	2 5	Apocalyptic Kitty Pryde (SW1)	Apocalyptic Kitty Pryde (SW1)	""	75
X-Men	Apocalyptic Kitty Pryde	Untouchable	SW1				7	1		1										1																												Cancel fight effects	sw12,jpg	1 5	Apocalyptic Kitty Pryde (SW1)	Apocalyptic Kitty Pryde (SW1)	""	76
X-Men	Aurora & Northstar	Northern lights	XM				3	5		1											1												1																xmen,jpg	6 1	Aurora & Northstar (XM)	Aurora & Northstar (XM)	Soaring Flight|Lightshow	77
X-Men	Aurora & Northstar	Blazing Flare	XM	1	Aurora		4	5	1											1													1																xmen,jpg	4 1	Aurora & Northstar (XM)	Aurora & Northstar (XM)	Lightshow|Berserk	78
X-Men	Aurora & Northstar	Blazing Fists	XM	1	Northstar		4	5			1										1			-1																									xmen,jpg	4 1	Aurora & Northstar (XM)	Aurora & Northstar (XM)	Soaring Flight|Lightshow	79
X-Men	Aurora & Northstar	Twin Blast	XM				5	3	1												1												1																xmen,jpg	5 1	Aurora & Northstar (XM)	Aurora & Northstar (XM)	""	80
X-Men	Aurora & Northstar	Mach 10	XM				7	1				1								1	1												2																xmen,jpg	3 1	Aurora & Northstar (XM)	Aurora & Northstar (XM)	Soaring Flight|Lightshow	81
X-Men	Banshee	Sonar detection	XM				2	5		1					1							1														1													xmen3,jpg	5 4	Banshee (XM)	Banshee (XM)	Piercing Energy|X-Gene	82
X-Men	Banshee	Speed of sound	XM				3	5	1																											1												Soaring Flight	xmen3,jpg	2 4	Banshee (XM)	Banshee (XM)	Soaring Flight|Piercing Energy	83
X-Men	Banshee	Sonic blast wave	XM				5	3	1					1						1																1													xmen3,jpg	3 4	Banshee (XM)	Banshee (XM)	Piercing Energy	84
X-Men	Banshee	Bone-shattering howl	XM				8	1	1					1	1																					1												Use FI as Pierc	xmen3,jpg	8 4	Banshee (XM)	Banshee (XM)	Piercing Energy	85
X-Men	Beast	Furry fury	XM				4	5			1					1					1			-1																									xmen3,jpg	3 7	Beast (XM)	Beast (XM)	Berserk|X-Gene	86
X-Men	Beast	Captiv Conundrum	XM				2	5					1					1			1	1																											xmen3,jpg	10 6	Beast (XM)	Beast (XM)	X-Gene	87
X-Men	Beast	Calculcated rage	XM				5	3					1								1			1																									xmen3,jpg	8 6	Beast (XM)	Beast (XM)	Berserk	88
X-Men	Beast	Recursive pummeling	XM				8	1					1								1			-1					-1						1														xmen3,jpg	7 6	Beast (XM)	Beast (XM)	Berserk|X-Gene	89
X-Men	Bishop	Whatever the cost	DC				2	5	1						1							1																1											ff,jpg	3 3	Bishop (DC)	Bishop (DC)	""	90
X-Men	Bishop	Absorb energies	DC				3	5		1										1	1																	-1											ff,jpg	4 3	Bishop (DC)	Bishop (DC)	""	91
X-Men	Bishop	Concussive blast	DC				5	3	1					2							1																												ff,jpg	5 3	Bishop (DC)	Bishop (DC)	""	92
X-Men	Bishop	Firepower ft future!	DC				7	1					1								1		-1	-1											1			1											ff,jpg	2 3	Bishop (DC)	Bishop (DC)	""	93
X-Men	Cannonball	Kinetic blast field	XM				3	5				1					1				1																											Soaring Flight	xmen,jpg	10 1	Cannonball (XM)	Cannonball (XM)	Soaring Flight	94
X-Men	Cannonball	Carry to the air	XM				4	5			1					1				1																												Soaring Flight	xmen,jpg	8 1	Cannonball (XM)	Cannonball (XM)	Soaring Flight	95
X-Men	Cannonball	Natural leader	XM				6	3			1					1					1														1													Soaring Flight	xmen,jpg	9 1	Cannonball (XM)	Cannonball (XM)	Soaring Flight	96
X-Men	Cannonball	Human cannon	XM				8	1			1										1	-1																										Soaring Flight	xmen,jpg	7 1	Cannonball (XM)	Cannonball (XM)	Soaring Flight	97
X-Men	Colossus & Wolverine	Reliable	XM	2	Colossus		3	5			1									1								1																					xmen3,jpg	7 4	Colossus & Wolverine (XM)	Colossus & Wolverine (XM)	Berserk	98
X-Men	Colossus & Wolverine	Unpredictable	XM	2	Wolverine		3	5				1									1			-1																									xmen3,jpg	7 4	Colossus & Wolverine (XM)	Colossus & Wolverine (XM)	""	99
X-Men	Colossus & Wolverine	Fastball special	XM				4	5			1						1				1			-1																								Soaring Flight	xmen3,jpg	9 4	Colossus & Wolverine (XM)	Colossus & Wolverine (XM)	Berserk|X-Gene|Soaring Flight	100
X-Men	Colossus & Wolverine	Insane disregard	XM				6	3				1									1			-1		1																							xmen3,jpg	4 4	Colossus & Wolverine (XM)	Colossus & Wolverine (XM)	Berserk	101
X-Men	Colossus & Wolverine	Uncanny X-Men	XM				7	1			1										1			-1											2														xmen3,jpg	6 4	Colossus & Wolverine (XM)	Colossus & Wolverine (XM)	Berserk	102
X-Men	Cyclops	Determination	B				2	5			1									1			1																										base,jpg	8 3	Cyclops (B)	Cyclops (B)	""	103
X-Men	Cyclops	Optic blast	B				3	5	1												1		1																										base,jpg	9 3	Cyclops (B)	Cyclops (B)	""	104
X-Men	Cyclops	Unending energy	B				6	3	1												1		-1																										base,jpg	10 3	Cyclops (B)	Cyclops (B)	""	105
X-Men	Cyclops	X-Men united	B				8	1	1												1														2														base,jpg	7 3	Cyclops (B)	Cyclops (B)	""	106
X-Men	Dazzler	Conv sound to light	XM				3	5				1								1													2			2													xmen3,jpg	1 5	Dazzler (XM)	Dazzler (XM)	Piercing Energy|Lightshow	107
X-Men	Dazzler	Dazzling glamour	XM				4	5	1												1												1																xmen3,jpg	3 5	Dazzler (XM)	Dazzler (XM)	Lightshow	108
X-Men	Dazzler	Citywide concert	XM				5	3					1								1												1																xmen3,jpg	6 5	Dazzler (XM)	Dazzler (XM)	Lightshow	109
X-Men	Dazzler	Inspire the world	XM				7	1	1												1												1																xmen3,jpg	10 4	Dazzler (XM)	Dazzler (XM)	Lightshow	110
X-Men	Emma Frost	Shadowed thoughts	B				4	5		1					1						1																				-1							Play extra villains	base,jpg	2 4	Emma Frost (B)	Emma Frost (B)	""	111
X-Men	Emma Frost	Mental discipline	B				3	5	1											1		1																											base,jpg	3 4	Emma Frost (B)	Emma Frost (B)	""	112
X-Men	Emma Frost	Psychic Link	B				5	3				1									1	1													1														base,jpg	1 4	Emma Frost (B)	Emma Frost (B)	""	113
X-Men	Emma Frost	Diamond form	B				7	1			1										1																												base,jpg	4 4	Emma Frost (B)	Emma Frost (B)	""	114
X-Men	Gambit	Stack the deck	B				2	5		1												1		1																									base,jpg	1 5	Gambit (B)	Gambit (B)	""	115
X-Men	Gambit	Card shark	B				4	5	1												1			-1											1														base,jpg	10 4	Gambit (B)	Gambit (B)	""	116
X-Men	Gambit	Hypnotic Charm	B				3	3				1					1			1				1																									base,jpg	2 5	Gambit (B)	Gambit (B)	""	117
X-Men	Gambit	High stakes jackpot	B				7	1				1									1			-1																									base,jpg	9 4	Gambit (B)	Gambit (B)	""	118
X-Men	Havok	Blinding burst	XM				3	5	1											1	1												1																xmen3,jpg	6 3	Havok (XM)	Havok (XM)	Lightshow	119
X-Men	Havok	Unleash havok	XM				4	5	1												1		1	-1																									xmen3,jpg	9 3	Havok (XM)	Havok (XM)	Berserk	120
X-Men	Havok	Concussive plasma	XM				5	3	1					2							1																												xmen3,jpg	4 3	Havok (XM)	Havok (XM)	X-Gene	121
X-Men	Havok	Radiation focus array	XM				7	1					1	2							1			-1																									xmen3,jpg	3 3	Havok (XM)	Havok (XM)	Berserk|X-Gene	122
X-Men	Iceman	Deep Freeze	DC				2	5	1					2						1		1																											ff,jpg	9 7	Iceman (DC)	Iceman (DC)	""	123
X-Men	Iceman	Ice Slide	DC				4	5	1					2							1																												ff,jpg	8 7	Iceman (DC)	Iceman (DC)	""	124
X-Men	Iceman	Frost-Spike armor	DC				5	3			1			2							1	1																											darkcity,jpg	1 1	Iceman (DC)	Iceman (DC)	""	125
X-Men	Iceman	Impenetrable ice wall	DC				8	1	1												1																											Prevents wounds	ff,jpg	7 7	Iceman (DC)	Iceman (DC)	""	126
X-Men	Jean Grey	Psychich search	DC				3	5	1												1				1										1														darkcity,jpg	2 1	Jean Grey (DC)	Jean Grey (DC)	""	127
X-Men	Jean Grey	Read yer thoughts	DC				5	5		1										1					-1																								darkcity,jpg	3 1	Jean Grey (DC)	Jean Grey (DC)	""	128
X-Men	Jean Grey	Mind over matter	DC				6	3		1											1	1			-1																								darkcity,jpg	4 1	Jean Grey (DC)	Jean Grey (DC)	""	129
X-Men	Jean Grey	Telekinetic mastery	DC				7	1	1												1				-1										2														darkcity,jpg	5 1	Jean Grey (DC)	Jean Grey (DC)	""	130
X-Men	Jubilee	Blasting fireworks	XM				4	5	1												1	1											2																xmen3,jpg	9 6	Jubilee (XM)	Jubilee (XM)	Lightshow	131
X-Men	Jubilee	Light a spark	XM				2	5		1										1		1											2																xmen3,jpg	4 7	Jubilee (XM)	Jubilee (XM)	Lightshow	132
X-Men	Jubilee	Unexpected explosions	XM				5	3				1									1			1									1					1											xmen3,jpg	1 7	Jubilee (XM)	Jubilee (XM)	Lightshow	133
