Name	Set	CT	B	R	G	Y	S	Team	TeamSC	Wnd	KOH	KBS	CRWD	BS	EW	EWH	NOTE	HC	VC	CH	Hero_Inc	HM_Inc	Vill_Inc	BSCt	WndCT	solobad	xtra	otherspecial	file	loc	file2	loc2	id	keywords	seq
Age of Ultron	AM	11											1		SE	Evolved Ultron		2:0;4:1											antman,jpg	3 4			Age of Ultron	Empowered	1
Alien Brood Encounters	XM	8								1			1		VE		Probing villain deck is extremely good			1		The Brood		x	30				xmen,jpg	7 2			Alien Brood Encounters	""	2
Annihilation: Conquest	ITC	11													SE	Phalanx-Infected		1											itc,png	10 4			Annihilation: Conquest	""	3
Anti-Mutant Hatred	XM	11								2					WO		30 wounds only												xmen,jpg	2 3			Anti-Mutant Hatred	""	4
Asgardian Test of Worth	HOA	11													LT		Requires worthy heroes												hoa,png	4 1			Asgardian Test of Worth	Worthy	5
Avengers vs. X-Men	CW	9								1					LT		Only two teams of heroes												civilwar,jpg	8 2			Avengers vs. X-Men	""	6
Bathe the Earth in Cosmic Rays	FF	6									2				HK														pttr,jpg	4 7			Bathe the Earth in Cosmic Rays	""	7
Brainwash the Military	C75	7											1		SE	Shield Officer	Interacts strongly with shield officers											add shield officers to villain deck	c75,jpg	9 4			Brainwash the Military	""	8
Break the Planet Asunder	WW	9									2				HK			2:2;5:1											hulk,jpg	10 3			Break the Planet Asunder	""	9
Build an Army of Annihilation	SW1	9													LT		Not strictly, but likely win on last strike											Put extra HM group in KO pile	sw1,jpg	6 5			Build an Army of Annihilation	""	10
Build an Underground MegaVault Prison	V	8								2					WO										5*				villains2,jpg	6 4			Build an Underground MegaVault Prison	""	11
Cage Villains in Power-Suppressing Cells	V	8													O		Also requires a few cops.											Put cops next to scheme	villains2,jpg	9 4			Cage Villains in Power-Suppressing Cells	""	12
Capture Baby Hope	DC	8											1		VE													baby hope token	darkcity,jpg	8 5			Capture Baby Hope	""	13
Change the Outcome of WWII	C75	7											2		VE				1										c75,jpg	10 4			Change the Outcome of WWII	""	14
Clash of the Monsters Unleashed	CH	10								2					WO										6*			put monsters unleashed villains in separate pile	champions,jpg	3 3			Clash of the Monsters Unleashed	""	15
Corrupt the Next Generation of Heroes	SW1	8											2		SE	Sidekick	Might be a 2 for CRWD?											add sidekicks to villain deck	sw1,jpg	5 5			Corrupt the Next Generation of Heroes	""	16
Crash the Moon into the Sun	NM	11													O		Benefits from HQ filtering												nmschemes,png	1 1			Crash the Moon into the Sun	Moonlight|Sunlight	17
Crown Thor King of Asgard	V	8											1		SE	Thor												Add Thor villian	villains2,jpg	5 4			Crown Thor King of Asgard	""	18
Crush HYDRA	V	8											1		SE	Heroes													villains2,jpg	8 4			Crush HYDRA	""	19
Crush Them With My Bare Hands	SW1	5													LT		Can be broken with certain MM, e.g. Dark Phoenix												sw1,jpg	4 5			Crush Them With My Bare Hands	""	20
Cytoplasm Spike Invasion	WW	10										1	1		SE	Bystander	Include Cytoplasm spike henchmen											Shuffle 20 bystanders and 10 cytoplasm in separate pile	hulk,jpg	9 3			Cytoplasm Spike Invasion	""	21
Dark Alliance	SW1	8													LT														sw1,jpg	2 5			Dark Alliance	""	22
Dark Reign of H.A.M.M.E.R. Officers	CW	7													LT		Interacts strongly with shield officers												civilwar,jpg	9 2			Dark Reign of H.A.M.M.E.R. Officers	SHIELD Clearance	23
Deadlands Hordes Charge the Wall	SW2	8											2		VE				1										sw2,jpg	10 6			Deadlands Hordes Charge the Wall	Charge	24
Deadpool Kills the Marvel Universe	DP	2:6;4:5									1				HK		Only one Deadpool hero	2:-1;3:0			Deadpool								dp,jpg	7 4			Deadpool Kills the Marvel Universe	""	25
Deadpool Wants A Chimichanga	DP	6												1	SE	Bystander			2:0;3:1					12					dp,jpg	6 4			Deadpool Wants A Chimichanga	""	26
Deadpool Writes a Scheme	DP	6													LT						Deadpool								dp,jpg	5 4			Deadpool Writes a Scheme	""	27
Destroy the Nova Corps	ITC	9													HK		Modify starting deck; have 1 Nova hero												itc,png	9 4			Destroy the Nova Corps	Shard	28
Detonate the Helicarrier	DC	8									2				HK			2:1;5:0											darkcity,jpg	7 5			Detonate the Helicarrier	""	29
Devolve with Xerogen Crystals	ROK	2:5;3:6;4:7;5:8											2		VE					1								Extra henchmen group that has abomination	roksch,jpg	SW			Devolve with Xerogen Crystals	Abomination	30
Distract the Hero	HC	8													O		Problematic with villains gained as heroes											Not specific hero, but team	homecoming,jpg	3 3			Distract the Hero	""	31
Divide and Conquer	CH	8	1	1	1	1	1				1				HK			2:2;5:1											champions,jpg	4 3			Divide and Conquer	""	32
Earthquake Drains the Ocean	R	11											2		VE				1										earthquake.png	1	tsunami.png	1	Earthquake Drains the Ocean	""	33
Enthrone the Barons of Battleworld	SW2	8													O	Masterminds	Slightly harder with villains that can ascend												sw2,jpg	1 7			Enthrone the Barons of Battleworld	""	34
Epic Super Hero Civil War	CW	2:9;4:6									1				HK														civilwar,jpg	7 2			Epic Super Hero Civil War	""	35
Everybody Hates Deadpool	DP	6											1		VE		Easier with more DP heroes												dp,jpg	8 4			Everybody Hates Deadpool	Revenge	36
Explosion at the Washington Monument	HC	8										1			SE	Bystander												Make special deck with wounds and bystanders	homecoming,jpg	5 3			Explosion at the Washington Monument	""	37
Fall of the Hulks	WW	10								1					WO		Two Hulks included				Hulk;Hulk				6*				hulk,jpg	8 3			Fall of the Hulks	Cross-Dimensional Rampage	38
Fear Itself	FI	10													LT													HQ starts bigger than normal	fearitself,jpg	3 1			Fear Itself	""	39
Ferry Disaster	HC	9										1	1		SE	Bystander													homecoming,jpg	4 3			Ferry Disaster	""	40
Find the Split Personality Killer	N	8													O	Cluedo										x			noir,jpg	6 5			Find the Split Personality Killer	Investigate	41
Five Families of Crime	N	8											2		VE				2									villian deck split in 5	noir,jpg	5 5			Five Families of Crime	""	42
Flood the Planet with Melted Glaciers	FF	8									2				HK		Easier with higher average cost heroes												pttr,jpg	6 7			Flood the Planet with Melted Glaciers	""	43
Forge the Infinity Gauntlet	GG	8													SE	Infinity Gems							Infinity Gems						gotg,jpg	5 3			Forge the Infinity Gauntlet	Shard	44
Fragmented Realities	SW1	2*											2		HK		Combines terribly with city space heroes		1									Split villain deck in pile for each player, then add 2 twists to each pile	sw1,jpg	1 5			Fragmented Realities	""	45
Gladiator Pits of Sakaar	WW	6											1		VE		Harder with high team diversity												hulk,jpg	6 3			Gladiator Pits of Sakaar	""	46
Go Back in Time to Slay Heroes' Ancestors	C75	9													LT			2:3;5:2											c75,jpg	1 5			Go Back in Time to Slay Heroes' Ancestors	""	47
Graduation at Xavier's X-Academy	V	8													LT		Also when enough bystanders escape											Put 8 bystanders next to scheme	villains2,jpg	10 4			Graduation at Xavier's X-Academy	""	48
Hail Hydra	AOS	11													LT														officers,png	7 3			Hail Hydra	""	49
Hidden Heart of Darkness	N	8											1		SE	Tactics												tactics in villain deck	noir,jpg	4 5			Hidden Heart of Darkness	Investigate	50
Horror of Horrors	XM	6													LT														xmen,jpg	1 3			Horror of Horrors	""	51
House of M	R	8						X-men	2		2				HK		Requires 4 X-men and 2 non-X-men.											Scarlet Witch in villain deck	houseofm,png	1	nomore,png	1	House of M	""	52
Hydra Helicarriers Hunt Heroes	AOS	8									2				HK			1											officers,png	6 3			Hydra Helicarriers Hunt Heroes	""	53
Hypnotize Every Human	CH	8											1	1	VE					1				x					champions,jpg	5 3			Hypnotize Every Human	""	54
Imprison Unregistered Superhumans	CW	11										1	1		SE	Bystander													civilwar,jpg	6 2			Imprison Unregistered Superhumans	Fortify	55
