Group	Name	Ct	Set	VP	BP	B	R	G	Y	S	SP	ESC	AMB	Team	TeamSC	Wnd	KOH	KBS	CRWD	BS	MM	Cty	Protection	NOTE	file	loc	id	keywords	seq
Uncanny X-Men	Colossus	2	V	3	5											1							X-Treme Attack		villains2,jpg	7 6	Uncanny X-Men	X-Treme Attack	1
Uncanny X-Men	Shadowcat	2	V	2	2																		X-treme Attack, Elusive 5		villains2,jpg	4 6	Uncanny X-Men	X-Treme Attack|Elusive	2
Uncanny X-Men	Nightcrawler	2	V	2	4																		X-Treme Attack		villains2,jpg	6 6	Uncanny X-Men	X-Treme Attack	3
Uncanny X-Men	Storm	2	V	2	4								1			1									villains2,jpg	5 6	Uncanny X-Men	X-Treme Attack	4
Spider Friends	Moon Knight	2	V	2	4												1								villains,jpg	10 2	Spider Friends	""	5
Spider Friends	Spiderman	2	V	3	2							1							1						villains,jpg	7 2	Spider Friends	""	6
Spider Friends	Firestar	2	V	3	5							1					2								villains,jpg	9 2	Spider Friends	""	7
Spider Friends	Black Cat	2	V	2	2																		Elusive 6		villains,jpg	8 2	Spider Friends	Elusive	8
The Mighty	Iron Fist	1	FI	2	3												1						Uru-Enchanted Weapon		fearitself,jpg	4 4	The Mighty	Uru-Enchanted Weapon	9
The Mighty	Wolverine	1	FI	6	5				1			1											2 Uru-Enchanted Weapons		fearitself,jpg	10 4	The Mighty	Uru-Enchanted Weapon	10
The Mighty	Dr. Strange	1	FI	4	5								1										Uru-Enchanted Weapon		fearitself,jpg	8 4	The Mighty	Uru-Enchanted Weapon	11
The Mighty	Ms. Marvel	1	FI	3	4	1						1											Uru-Enchanted Weapon		fearitself,jpg	5 4	The Mighty	Uru-Enchanted Weapon	12
The Mighty	Red She-Hulk	1	FI	2	4																		Uru-Enchanted Weapon		fearitself,jpg	7 4	The Mighty	Uru-Enchanted Weapon	13
The Mighty	Hawkeye	1	FI	2	3																		Uru-Enchanted Weapon		fearitself,jpg	6 4	The Mighty	Uru-Enchanted Weapon	14
The Mighty	Spiderman	1	FI	3	2							1							1				2 Uru-Enchanted Weapons		fearitself,jpg	9 4	The Mighty	Uru-Enchanted Weapon	15
The Mighty	Black Widow	1	FI	4	3																		2 Uru-Enchanted Weapons		fearitself,jpg	3 4	The Mighty	Uru-Enchanted Weapon	16
Defenders	Namor, the Sub-Mariner	2	V	4	6								1			1									villains,jpg	5 2	Defenders	""	17
Defenders	Iron Fist	2	V	2	3																		Reveal 3 heroes with # cost		villains,jpg	4 2	Defenders	""	18
Defenders	Luke Cage	2	V	2	4																				villains,jpg	3 2	Defenders	""	19
Defenders	Daredevil	2	V	3	5							1													villains,jpg	6 2	Defenders	""	20
Marvel Knights	Ghost Rider	2	V	3	5							1													villains2,jpg	9 2	Marvel Knights	""	21
Marvel Knights	Elektra	2	V	2	4											-1	1								villains2,jpg	10 2	Marvel Knights	""	22
Marvel Knights	Black Panther	2	V	2	4																				villains2,jpg	8 2	Marvel Knights	""	23
Marvel Knights	The Punisher	2	V	4	6							1					1								villains2,jpg	1 3	Marvel Knights	""	24
Uncanny Avengers	Havok	2	V	2	4	1							1										X-Treme Attack		villains2,jpg	2 6	Uncanny Avengers	X-Treme Attack	25
Uncanny Avengers	Scarlet Witch	2	V	3	5																				villains2,jpg	10 5	Uncanny Avengers	""	26
Uncanny Avengers	Rogue	2	V	2	4																		X-Treme Attack		villains2,jpg	1 6	Uncanny Avengers	X-Treme Attack	27
Uncanny Avengers	Wolverine	2	V	5	7				1			1											X-Treme Attack		villains2,jpg	3 6	Uncanny Avengers	X-Treme Attack	28
X-Men First Class	Iceman	2	V	3	5	2																	X-Treme Attack		villains2,jpg	6 7	X-Men First Class	X-Treme Attack	29
X-Men First Class	Angel	2	V	2	4																		X-Treme Attack		villains2,jpg	2 7	X-Men First Class	X-Treme Attack	30
X-Men First Class	Beast	2	V	3	5												1						X-Treme Attack		villains2,jpg	5 7	X-Men First Class	X-Treme Attack	31
X-Men First Class	Jean Grey	1	V	4	6								1							1			X-Treme Attack		villains2,jpg	3 7	X-Men First Class	X-Treme Attack	32
X-Men First Class	Cyclops	1	V	4	6							1											X-Treme Attack		villains2,jpg	4 7	X-Men First Class	X-Treme Attack	33
Avengers	Wasp	2	V	4	1																		Elusive 7		villains,jpg	5 3	Avengers	Elusive	34
Avengers	Antman	2	V	2	3																		Elusive 4		villains,jpg	1 3	Avengers	Elusive	35
Avengers	Iron Man	1	V	5	7					1		1	1			1									villains,jpg	4 3	Avengers	Demolish	36
Avengers	Captain America	1	V	5	4							1	1			1							Gets plus for classes in HQ		villains,jpg	3 3	Avengers	Demolish	37
Avengers	Hulk	1	V	6	8								1												villains,jpg	6 3	Avengers	Demolish	38
Avengers	Thor	1	V	5	7								1				2								villains,jpg	2 3	Avengers	Demolish	39
Brotherhood	Sabretooth	2	B	3	5							1		X-Men	1	1									base,jpg	10 1	Brotherhood	""	40
Brotherhood	Juggernaut	2	B	4	6							1	1				1								base,jpg	2 2	Brotherhood	""	41
Brotherhood	Mystique	2	B	3	5							1													base,jpg	1 2	Brotherhood	""	42
Brotherhood	Blob	2	B	2	4									X-Men	2										base,jpg	9 1	Brotherhood	""	43
CSA Special Marshals	Venom	2	CW	4	7		1					1						1					Size-changing		civilwar,jpg	8 5	CSA Special Marshals	Size-Changing|Fortify	44
CSA Special Marshals	Moonstone	2	CW	2	4																				civilwar,jpg	10 5	CSA Special Marshals	""	45
CSA Special Marshals	Bullseye	2	CW	4	6							1					2								civilwar,jpg	9 5	CSA Special Marshals	""	46
CSA Special Marshals	Penance	2	CW	3	2																		Gets plus for each villain in VP		civilwar,jpg	7 5	CSA Special Marshals	""	47
Dark Descendants	Havok, Brainwashed	2	XM	0	6	1						1													xmen,jpg	8 5	Dark Descendants	Dominate|X-Gene	48
Dark Descendants	Random	2	XM	3	4								1										Dominates a bunch of heroes		xmen,jpg	9 5	Dark Descendants	Dominate	49
Dark Descendants	Fatale	2	XM	3	5							1					1								xmen,jpg	7 5	Dark Descendants	Dominate	50
Dark Descendants	Nemesis	1	XM	5	5								1										Dominates a bunch of heroes		xmen,jpg	6 5	Dark Descendants	Dominate	51
Dark Descendants	Psychic Subjugation	1	XM	3	-1														1				Recruit some heroes		xmen,jpg	5 5	Dark Descendants	Trap	52
"Deadpool's ""Friends"""	Taskmaster	2	DP	4	3								1							1			Gets plus for the most expensive hero played		dp,jpg	3 4	"Deadpool's ""Friends"""	""	53
"Deadpool's ""Friends"""	Blind Al and Deuce	2	DP	3	2							1											Revenge, discard a card		dp,jpg	4 4	"Deadpool's ""Friends"""	Revenge	54
"Deadpool's ""Friends"""	Sluggo	2	DP	4	5							1											Revenge		dp,jpg	1 4	"Deadpool's ""Friends"""	Revenge|Excessive Violence	55
"Deadpool's ""Friends"""	Weasel	2	DP	3	4								1										Revenge		dp,jpg	2 4	"Deadpool's ""Friends"""	Revenge	56
Deadpool's Secret Secret Wars	Pink Sphinx	3	SW2	2	4						1						1								sw2,jpg	5 4	Deadpool's Secret Secret Wars	Spectrum	57
Deadpool's Secret Secret Wars	Doop	2	SW2	2	2														2						sw2,jpg	3 4	Deadpool's Secret Secret Wars	""	58
